[0.00 - 7.00] P:1646.56 E:0.067491 |  And the United States as England kick off and get this match underway.
[126.00 - 132.00] P:1570.47 E:0.091562 |  The Kenny for the United States then just saw an opportunity to go, drove through in the field, creating an opening.
[132.00 - 140.00] P:1559.93 E:0.095196 |  So England got a press early, they'll get opportunities from it because the US 96 do leave themselves exposed at times.
[140.00 - 151.00] P:1443.78 E:0.094556 |  The ball just being played back to his goalkeeper by Zimmerman, he's the only player in this line-up to actually plays in the United States.
[151.00 - 158.00] P:1500.19 E:0.098602 |  All of the rest of them dotted around the world, many in Europe and many in England, of course, familiar names that you will know.
[158.00 - 167.00] P:1467.93 E:0.097693 |  So McKenney and Moosa from this midfield, they call it the MMA midfield for the United States, both McKenney and Moosa were doubtful for this match, little doubts,
[167.00 - 172.00] P:1510.71 E:0.096828 |  but both okay, and as you will gather, both started the match.
[172.00 - 179.00] P:1425.01 E:0.095039 |  So the United States attacking down the right, they thought they'd want to throw in, but it's England's throw level with the edge of their own penalty area.
[179.00 - 183.00] P:1513.85 E:0.093520 |  In the first half here, England as we look are playing from left to right.
[184.00 - 192.00] P:1450.65 E:0.095279 |  So the England defending the end where the masked ranks of the England supporters are mainly dressed in red and white down to the left.
[192.00 - 200.00] P:1483.51 E:0.087716 |  Throw in to Raheem Sterling, one of the scorers in that record-breaking opening win for England at a World Cup.
[200.00 - 207.00] P:1372.04 E:0.093860 |  Sterling still inside his own half, then it's headed forward into USA territory, and they knock the ball along the back line,
[207.00 - 218.00] P:1338.72 E:0.093940 |  and then played forward up towards Poulisset near the centre-circle, who takes it back into his own half and gives it back once again to Waucat Zimami to his left, to Kim Reem.
[218.00 - 225.00] P:1467.31 E:0.094468 |  It seemed he was probably out of the picture for this World Cup squad, but things changed, and Reem plays it forwards down the left-hand side by Anthony Robinson,
[225.00 - 229.00] P:1435.19 E:0.093698 |  his clubmate can take on, but the touch was heavy and it's out of play for a throw in to England.
[229.00 - 236.00] P:1329.15 E:0.093189 |  Yeah, it's interesting down his left-hand side, he got a real battle, Zaka, who's more offensive minded.
[236.00 - 239.00] P:1468.32 E:0.098824 |  Robinson also at left back, offensive minded, loves to get forward.
[239.00 - 244.00] P:1518.02 E:0.091478 |  Poulisset tends to drift inside and he'll bomb on, that creates a space for him to go on.
[244.00 - 250.00] P:1493.42 E:0.093791 |  So Kieran Trippier will have his hands full, not only initially with Poulisset, but then with Robinson coming on as well.
[250.00 - 260.00] P:1332.56 E:0.092759 |  Sure plays it to Sterling over on the far side, and then Sterling goes back into his own half, and it's all the way back to Galky Pickford again.
[260.00 - 269.00] P:1302.07 E:0.101171 |  47th cap tonight for Pickford, so if England continue throughout the tournament, there's every chance that he, like the man just in front of him now,
[269.00 - 276.00] P:1328.27 E:0.095987 |  Harry Maguire will be reaching that half-century at the tournament, but that's further down the line.
[276.00 - 286.00] P:1437.38 E:0.093358 |  Harry Maguire is the, now the sixth man in this squad to reach 50 caps for England, as Harry Kane, one of them winning his 77th tonight,
[286.00 - 296.00] P:1297.55 E:0.090793 |  is bundled over, didn't get on the score sheet in the first match as you will know, but that means that he's still one goal away from becoming England's record scorer
[296.00 - 304.00] P:1499.59 E:0.089712 |  in tournament finals, World Cup European Championship combined with currently 10 leveled with Gary Lenaker.
[304.00 - 307.00] P:1502.20 E:0.096008 |  England with the ball in the back with John Stones.
[307.00 - 315.00] P:1463.28 E:0.108812 |  Now back to Maguire, this is a much more patient approach from England tonight, there's a greater respect being shown to the opposition.
[315.00 - 326.00] P:1451.53 E:0.103683 |  They really went in around in the early stages, but this is much more caging as Maguire in possession plays into his right to Stones with Hadji Wright closing him down.
[326.00 - 336.00] P:1445.41 E:0.100413 |  Stones puts his foot on the ball, just pops it into Bellingham who's come deep to get it, and then here is Maguire again, he goes for the long pass which is out of play,
[336.00 - 343.00] P:1440.83 E:0.099816 |  and this plays by Maguire, Shaw actually set off on the run and Maguire played it behind him and out for a thrill, error from Maguire.
[343.00 - 354.00] P:1474.32 E:0.088440 |  Interesting tactically that you're looking at England, looking to slow it down, they know how quick, how impressive the United States are on the counter attack, on the press,
[354.00 - 365.00] P:1428.31 E:0.090999 |  but the USA themselves had changed it, they were 4-3-3 directly up against the three centre halves of Wales, now they just select into a 4-4-2 when they don't have possession,
[365.00 - 371.00] P:1410.35 E:0.087558 |  so England bide in their time at the back, waiting for the moment, but being matched up at the same time.
[371.00 - 382.00] P:1421.99 E:0.095220 |  The United States have the ball, it's played out towards the left-hand side where Robinson, Anthony Robinson, double E for Anthony, turns and gives it back to the halfway line and it's blocked out of play by Mason,
[382.00 - 393.00] P:1519.33 E:0.097187 |  the throwing which actually came off the American, and that's been disputed by Tyler Adams, I think he had a case there as well, but it's given us a throw to England.
[393.00 - 402.00] P:1308.90 E:0.088967 |  I think he's always got something to say to Tyler Adams captain, as we heard this morning, with Rick Edwards very entertaining,
[402.00 - 413.00] P:1372.08 E:0.101052 |  Robinson on the bench tonight, the other legion I did midfield at, Kane takes it forward but there is Tim Rean headed back to his goalkeeper, Tim Rean now 35 years old,
[413.00 - 419.00] P:1250.46 E:0.092380 |  so it's very much built isn't it, this American side is one of young guns but there is experience in there as well.
[419.00 - 424.00] P:1390.39 E:0.093008 |  I'm not sure he would have started injuries, committing him being pulled up into the squad, I'm playing,
[424.00 - 432.00] P:1446.05 E:0.097099 |  and it's interesting that they do leave him so exposed at the back when they go forward, when they win the ball, because they go forward in numbers, they get 5-6 forward.
[432.00 - 440.00] P:1422.37 E:0.094815 |  Yeah, Miles Robinson was the big miss at the back, the captain of Atlanta United who tore his Achilles in May,
[440.00 - 446.00] P:1388.72 E:0.084951 |  and it was after that that Tim Rean came back into the picture, before this he hadn't won a cap for over a year.
[446.00 - 453.00] P:1477.27 E:0.091150 |  Here's Robinson on the left hand side for the United States but he runs it out of play, a heavy touch and it's a throw into England level with the edge of their own box.
[453.00 - 462.00] P:1406.05 E:0.085724 |  England nail United States, 0, 5-Live and BBC sounds, and as I hope you've picked up by now, all of the matches, every single one,
[462.00 - 471.00] P:1517.82 E:0.092751 |  there will be coverage when they're being played on 5-Live and BBC sounds, so wherever you are, whatever time you can take, the world cup with you on BBC sounds.
[471.00 - 479.00] P:1289.38 E:0.090974 |  When England playing the ball out to Luke Shaw on the left hand side, but they check back into their own half, and Sterling goes all the way back to McGuire again.
[479.00 - 490.00] P:1319.97 E:0.087047 |  When England have a throw in, every single United States player is in that half of the pitch, and I mean left to right rather than front and forward to back, so the switch is on.
[491.00 - 500.00] P:1188.93 E:0.096764 |  McGuire turning it, board of the far side, Mason Mount has dropped out there, Shaw is there as well, he plays it in field, Shaw having to battle for it back,
[500.00 - 509.00] P:1502.22 E:0.093965 |  and he does win it back, and now England go from left over here to right, Declan Rice with the initial pass, and then forward from Trippiac,
[509.00 - 514.00] P:1677.80 E:0.097190 |  and Robinson back in a defensive position is there to head that out of play.
[514.00 - 526.00] P:1627.19 E:0.083628 |  England nil, the United States nil, it did feel different yesterday when I was in the media conference, the official FIFA media conference before the match,
[526.00 - 533.00] P:1498.60 E:0.093488 |  as England take the throw, and he has Jude Bellingham with it on the right hand side, and I'm just wondering whether he might have hurt himself,
[533.00 - 543.00] P:1528.30 E:0.077827 |  because it just bounced away from him, he miscontrolled it, and the challenge came in on him from Hadgy Wright, but they're all care, they are both back on their feet.
[543.00 - 547.00] P:1623.74 E:0.090996 |  Just the way he reacted there Bellingham, just was a little worry wasn't it?
[547.00 - 549.00] P:1783.94 E:0.086510 |  It was a clumsy touch and the ball got stuck away from him.
[549.00 - 557.00] P:1683.57 E:0.105839 |  Oh nice ball from Trippiac to Bellingham, and Bellingham now running at the defence and giving it to Saka, and then back across to Kane who shot,
[557.00 - 566.00] P:1585.07 E:0.106390 |  takes a deflection off Zimmerman and wide of the foot of the post, and that looked for all the world as though Harry Kane was about to score his first goal of this World Cup.
[566.00 - 573.00] P:1510.42 E:0.108941 |  Corner, that is how you get through a press, fast one-tops football, brilliant attack in football down the right hand side,
[573.00 - 582.00] P:1542.13 E:0.099900 |  it was in exactly the same spot that he gave away the penalty against Wiles, a brilliant block, last sticks, Harry Kane in front of the goal,
[582.00 - 589.00] P:1456.84 E:0.096168 |  you put your house on him to put it away, great block, super block, and so it is in corner from the right hand side,
[589.00 - 594.00] P:1508.81 E:0.091440 |  Neena give Trippiac credit for that, we'll come back to that, but this is the first set-piece England have got,
[594.00 - 602.00] P:1520.09 E:0.097042 |  remember all the talks since Monday about defending and attacking set-pieces, Trippiac plays it in, it is Stones who got his head to it,
[602.00 - 609.00] P:1493.99 E:0.101598 |  and the ball bounces to the far side, it's kept in by Maguire, and Maguire now into the penalty area, and still Maguire, and he's losing it,
[609.00 - 614.00] P:1586.33 E:0.106973 |  and eventually it is cleared away out of the penalty area.
[615.00 - 624.00] P:1583.56 E:0.100798 |  Harry Maguire, as he did made his way into the penalty area, it was a case of, is he going to lose balance, is he going to fall over,
[624.00 - 631.00] P:1481.09 E:0.098071 |  no, is he going to get a shot, and in the end changing the ball from foot to foot, it wasn't exactly Cristiano Ronaldo,
[631.00 - 638.00] P:1220.33 E:0.096856 |  but it ended up with a shot of Mason Mount, and it is a goal kick, it was over the top of the crossbar by a distance,
[638.00 - 643.00] P:1180.20 E:0.100213 |  and the referee has just come across it and said to Harry Kane that he needs to be outside of the penalty area.
[643.00 - 651.00] P:1363.46 E:0.097605 |  I was just about to say it was name RS, it was brilliant feet initially, it was never in fully control over it.
[651.00 - 654.00] P:1364.05 E:0.092122 |  No, that would be fair to say Rob, he was never fully in control.
[654.00 - 657.00] P:1364.47 E:0.083947 |  There was a bit of jeopardy in the situation.
[657.00 - 663.00] P:1263.89 E:0.087670 |  Mr Maguire, were you ever fully in control of the ball? I have to confess I was not.
[663.00 - 666.00] P:1292.12 E:0.089446 |  He was in, he was in though.
[666.00 - 677.00] P:1283.37 E:0.085726 |  Yes, yes. So England nil, United States nil, and suddenly England have upped it there in the last, what, three or four minutes.
[677.00 - 682.00] P:1377.01 E:0.092064 |  They've been biting the time at the back and just trying to find a way, and you see the set moves that they have,
[682.00 - 689.00] P:1436.90 E:0.091072 |  when the ball comes out to Trippier, Saka moves in off the line, and it's been met and they're just teeing it up for the right opportunity.
[689.00 - 693.00] P:1327.57 E:0.089067 |  That was the right opportunity and they got it down to a tee.
[693.00 - 699.00] P:1285.79 E:0.091076 |  So England with the ball deep inside their own half again, stones playing it across to Maguire.
[699.00 - 704.00] P:1383.29 E:0.084591 |  So it's back to, as you were just before that, flurry from England.
[704.00 - 711.00] P:1419.60 E:0.086142 |  But it was, it was a terrific little pass from Kieran Trippier, there's suddenly, it's like flicking a switch from that pass from Trippier,
[711.00 - 714.00] P:1237.17 E:0.089105 |  that started the attack that led to the cane shot that was deflected by.
[714.00 - 721.00] P:1434.57 E:0.091462 |  The difficulty with this press from USA is when you do get it wrong that you are so open,
[721.00 - 728.00] P:1446.66 E:0.094280 |  because it just doesn't take much to get it wrong, half a step, half a yard, a curved run in the wrong direction,
[728.00 - 733.00] P:1388.89 E:0.098934 |  just these fine details, you get them wrong, the quality of the opposition will find you out.
[733.00 - 738.00] P:1400.99 E:0.098789 |  England with it still on the far side, in the central third of the field,
[738.00 - 745.00] P:1383.48 E:0.097478 |  and Lowell Ball played in from the left flank by Sterling, Cain Trippier played with the outside of his group for Saka,
[745.00 - 750.00] P:1308.62 E:0.092845 |  who set up that opportunity for Harry Cain with his ball from the right hand side,
[750.00 - 754.00] P:1173.04 E:0.101824 |  it's played forward on the half way line by Trippier, bounces away,
[754.00 - 760.00] P:1585.04 E:0.095955 |  Bellingham just takes charge in front of Prukayo Saka, Saka bounced off his teammate there,
[760.00 - 765.00] P:1449.23 E:0.097721 |  Bellingham was looking to drive it on having opened his account for England the other evening.
[765.00 - 771.00] P:1340.66 E:0.091795 |  Looking now, America with the ball, all of a sudden just looking to get a breather and giving it away as well.
[771.00 - 774.00] P:1353.17 E:0.086566 |  Yeah, it's come back to them Sterling immediately plays it to the left hand side,
[774.00 - 779.00] P:1436.53 E:0.092854 |  Mount gets it under control, an awkward bouncing ball, sort of trademark style of his,
[779.00 - 786.00] P:1303.39 E:0.092964 |  as he takes it down in his stride, Bellingham now to the right hand side, Trippier still 0-0 if you've just joined us on five-life.
[786.00 - 793.00] P:1315.55 E:0.089542 |  The final match of today, the fourth commentary out of the four, out to the left hand side for England, Shaw,
[793.00 - 798.00] P:1211.18 E:0.091963 |  Shaw with Mount there, back it comes to Rice, England now dominating possession,
[798.00 - 804.00] P:1343.45 E:0.099396 |  and now they're passing the ball from left to right inside the USA half, stones to Bellingham,
[804.00 - 809.00] P:1586.17 E:0.106311 |  and now to Trippier on the right hand side, Saka's got space in the box, plays it across with a deflection,
[809.00 - 816.00] P:1474.74 E:0.101140 |  defenders in there, McKenny it was coming back, he was able to head it away in front of Harry Kane and USA clear.
[816.00 - 821.00] P:1507.74 E:0.104960 |  Yeah, now the really important block and that time it's Tyler Adams just stepping out at the wrong time.
[821.00 - 828.00] P:1321.62 E:0.097452 |  This time Shaw on the left hand side, Shaw feels like England are inching themselves further and further forward,
[828.00 - 835.00] P:1336.20 E:0.080887 |  now with the ball just forward of the centre circle, Trippier lifts it again for Saka,
[835.00 - 842.00] P:1338.86 E:0.091711 |  that's another good ball from the Newcastle United man to Saka, the Arsenal, the Premier League leaders, Trippier,
[842.00 - 847.00] P:1508.80 E:0.090509 |  then plays it into the box, it takes a deflection but Turner should come and pick that up.
[847.00 - 856.00] P:1596.35 E:0.087912 |  So Matt Turner, one of Bukalio Saka's teammates of course, but second choice at Arsenal,
[856.00 - 861.00] P:1644.65 E:0.098348 |  first choice for the United States, and first choice for Arsenal is sitting on the bench for England.
[861.00 - 868.00] P:1674.67 E:0.107887 |  Yeah, I agree with that goalkeeping and the real quality that England have in the goalkeeping department now,
[868.00 - 875.00] P:1482.89 E:0.099142 |  but grateful for the breather there, USA, just a moment, looking inside it off last game,
[875.00 - 881.00] P:1588.41 E:0.096321 |  down the left hand side was opening up around, this time down the right, the combinations, they're working.
[881.00 - 888.00] P:1503.20 E:0.090958 |  England nil, USA nil in this match, but if England are able to win it,
[888.00 - 892.00] P:1567.32 E:0.081119 |  then they would confirm their place in the next round of this World Cup,
[892.00 - 898.00] P:1525.41 E:0.088021 |  and probably as group winners because of that qualification criteria I was telling you about,
[898.00 - 904.00] P:1512.29 E:0.080752 |  but it would not be confirmed just yet, but still nil-nil, Rice,
[904.00 - 909.00] P:1391.95 E:0.086744 |  we're going to get a touch on that, it bounces away on the right hand side, son of the great George,
[909.00 - 914.00] P:1540.34 E:0.091381 |  it bounces back to Harry Maguire and he passes it forward to Harry Kane,
[914.00 - 919.00] P:1450.65 E:0.088204 |  and now Saka near the centre circle back to Bellingham, Bellingham to the left hand side,
[919.00 - 927.00] P:1478.16 E:0.080509 |  and Shaw is there, just plays it close quarters to Declan Rice, and England will start again.
[927.00 - 932.00] P:1470.90 E:0.098625 |  England absolutely dominating the possession, it's only down on our screen, it's 58%,
[932.00 - 939.00] P:1641.16 E:0.094202 |  it feels like at least 10% more than that. Saka to Shaw, and then into the penalty area to Sterling,
[939.00 - 944.00] P:1530.90 E:0.087469 |  Sterling then back to Luke Shaw, the two of them just outside the left corner of the penalty area,
[944.00 - 947.00] P:1647.80 E:0.091598 |  right footed ball into the penalty area, but straight through to Goalkeeper Turner,
[947.00 - 950.00] P:1640.42 E:0.099543 |  ball in orange, who's able to scoop it up and underarm it out,
[950.00 - 956.00] P:1659.77 E:0.094878 |  and Anthony Robinson is able to bring it forward for the USA, and give it to the left hand side,
[956.00 - 962.00] P:1639.42 E:0.087376 |  and now it is Pulasik of Chelsea, Pulasik beginning to cut in from the left and uses his right foot
[962.00 - 967.00] P:1611.98 E:0.081712 |  to find McKenney with the red, white and blue stripe on his hair, and in comes the cross,
[967.00 - 972.00] P:1682.66 E:0.100860 |  and the header is wide from right from the clean yards out, there's a defender with him,
[972.00 - 975.00] P:1651.00 E:0.102409 |  and he steered it wide, openly opposed by two or three yards.
[975.00 - 982.00] P:1643.85 E:0.084825 |  Thrive's on the crosses, right up front, the USA, there's an opportunity there for Pulasik to swing it in,
[982.00 - 986.00] P:1566.05 E:0.093659 |  and it was 1v1 with McGuire, and he had a yard of space at the far post,
[986.00 - 991.00] P:1688.54 E:0.088976 |  and that was the opportunity by the time the ball got cycled out to the right hand side,
[991.00 - 995.00] P:1601.30 E:0.080828 |  England were better set, the ball was shorter than the near post,
[995.00 - 999.00] P:1433.01 E:0.076942 |  a really difficult header to purchase the angle to get any power,
[999.00 - 1001.00] P:1472.18 E:0.080081 |  Chance really missed there for America.
[1001.00 - 1010.00] P:1515.65 E:0.083128 |  Producer Gary's just found another source that suggests that England's possession is 65.2%.
[1010.00 - 1011.00] P:1466.91 E:0.081096 |  Sounds accurate.
[1011.00 - 1018.00] P:1512.53 E:0.098839 |  Yeah, it sounds more like it. So that's 65.2%, the one which is presumably FIFA approved says 58%,
[1018.00 - 1025.00] P:1366.43 E:0.096462 |  which as I always say with these things, Rob, it depends on the human who's putting that information in there.
[1025.00 - 1029.00] P:1510.17 E:0.087367 |  Well, but sometimes people think, well, it's written down, it's actually right.
[1029.00 - 1032.00] P:1543.23 E:0.096818 |  Small detail, but it's the possession control.
[1032.00 - 1033.00] P:1701.17 E:0.114154 |  The possession control.
[1033.00 - 1038.00] P:1587.26 E:0.104781 |  That's a good point, Rob, yeah, but I've actually read it properly, I would have spotted that.
[1038.00 - 1039.00] P:1573.01 E:0.082256 |  What does that mean?
[1039.00 - 1043.00] P:1500.60 E:0.099640 |  There's a contested possession area as well.
[1043.00 - 1050.00] P:1325.42 E:0.088465 |  So we're up to 87% overall, so my math says 13% contested.
[1050.00 - 1056.00] P:1384.46 E:0.091406 |  So when Harry McGuire had possession but was not in control, that wouldn't count, would it?
[1056.00 - 1060.00] P:1531.16 E:0.081515 |  Some might argue when Harry McGuire has it in control, he'll stop.
[1060.00 - 1062.00] P:1382.86 E:0.052317 |  Spikey.
[1062.00 - 1064.00] P:1488.03 E:0.071321 |  Not me.
[1064.00 - 1067.00] P:1352.06 E:0.087242 |  England 0, USA 0, and tonight as well, winning his 50th.
[1068.00 - 1072.00] P:1427.94 E:0.101835 |  He has Pickford passing it out from the back to Stoves.
[1072.00 - 1078.00] P:1509.86 E:0.078646 |  17 minutes on the clock, big chance for Harry Kane, but excellent defending actually from Zimmerman,
[1078.00 - 1082.00] P:1247.52 E:0.086164 |  Walker Zimmerman, he could only be playing for the United States, couldn't he?
[1082.00 - 1091.00] P:1425.49 E:0.075604 |  Here's Stoves, again out to McGuire over there in the orange boot, who turns and gives it back to Pickford again.
[1091.00 - 1095.00] P:1655.60 E:0.099443 |  So Jordan Pickford, you could tell he was really frustrated to have conceded two goals.
[1095.00 - 1099.00] P:1564.40 E:0.101331 |  In fact England were, I've spoken to Garry Southgate a couple of times since the match,
[1099.00 - 1106.00] P:1574.42 E:0.095647 |  and also heard him in his conference, every time he spoke, Garry Southgate talked about the conceding of those two goals.
[1106.00 - 1110.00] P:1407.37 E:0.094657 |  I think the ideal scenario tonight for England obviously would be to win the game.
[1110.00 - 1112.00] P:1456.33 E:0.097491 |  I think he would absolutely love a clean sheet.
[1112.00 - 1120.00] P:1520.43 E:0.082657 |  The ball's played back to Stones again, and Stones, Rice makes himself available.
[1120.00 - 1124.00] P:1480.10 E:0.084777 |  On the other side of Hadji Wright, oh and that's a poor touch from Trippio,
[1124.00 - 1128.00] P:1667.27 E:0.091756 |  tried to open his body, received the pass from Dalligan, he actually missed it,
[1128.00 - 1135.00] P:1474.91 E:0.085208 |  and just skinned off his shin out of play for a throwing to the USA 10 yards inside the England half.
[1135.00 - 1142.00] P:1474.66 E:0.082054 |  Anthony Robinson down there, Jedi as they call him, is going to take this throw, just inching forward,
[1142.00 - 1149.00] P:1397.34 E:0.089144 |  and then it's headed infield by Poolecic, but into the body of McGuire, who's able to control and play it up onto the chest of Harry Kane,
[1149.00 - 1154.00] P:1636.84 E:0.089383 |  who takes that down and waits for the challenge to come in from Tyler Adams, but Kane is strong,
[1154.00 - 1159.00] P:1480.61 E:0.082626 |  and now to the right hand side, Saka back to Bellingham, Bellingham with a shimmy,
[1159.00 - 1163.00] P:1671.73 E:0.099488 |  is challenged strong and hard and good as well, and the USA have got it back,
[1163.00 - 1169.00] P:1639.20 E:0.087744 |  they've dispossessed Jude Bellingham and Poolecic, then finds the pass infield to Eunice Musa,
[1169.00 - 1172.00] P:1658.82 E:0.105315 |  who it was who won the ball back from Bellingham, that's a marker,
[1172.00 - 1176.00] P:1629.05 E:0.096257 |  and now it's been taken forward down the right hand side, but it breaks down on the edge of the England penalty area.
[1176.00 - 1183.00] P:1520.64 E:0.089066 |  However, Musa is there, the teenager, and he'll feel good, he's not really been in the game until now,
[1183.00 - 1189.00] P:1529.04 E:0.092275 |  but Poolecic now just outside the penalty area, nice turn on the right hand side by Weyer, out to the right.
[1189.00 - 1196.00] P:1727.28 E:0.097050 |  Here's the cross into the England six yard box from Dest, but Pickford was able to smartly make ground to his right,
[1196.00 - 1198.00] P:1502.95 E:0.076874 |  backpedaling as well and caught it.
[1198.00 - 1205.00] P:1605.56 E:0.079884 |  Yeah, good moments for America, and two moments there for such a new death, really, really poor to end it off.
[1205.00 - 1210.00] P:1581.65 E:0.069722 |  One was the initial ball in, it got cut out, and it was a try to be a cut back to no one in particular,
[1210.00 - 1215.00] P:1470.24 E:0.088767 |  and then the cross was even worse, it just floated across to the harbour, far post,
[1215.00 - 1221.00] P:1377.13 E:0.080425 |  and Pickford will be pleased to get a touch with the ball in a gather, but lighter moments, better moments,
[1221.00 - 1225.00] P:1347.93 E:0.077381 |  exciting moments for America, just that quality hitting them down.
[1225.00 - 1231.00] P:1193.19 E:0.090155 |  England nil, USA nil, five live and BBC sounds live from Qatar,
[1231.00 - 1238.00] P:1134.82 E:0.093271 |  and as I say, really we're in Alcor tonight, and England playing with McGuire into the centre-circle,
[1238.00 - 1244.00] P:1511.31 E:0.097962 |  to Balingham who's just overrun that, just bounced away from him, so Poolecic receives it back in the centre-circle,
[1244.00 - 1253.00] P:1476.86 E:0.094981 |  right-footed ball over the top, McGuire will allow that bounce through to Pickford, again, who's come out and safely holds onto the bouncing ball.
[1253.00 - 1255.00] P:1535.75 E:0.090432 |  Twenty minutes played, and it's still goalless.
[1255.00 - 1261.00] P:1357.27 E:0.085054 |  Here's Saka, Saka on the right, but his pass is intercepted by Rean, but then Saka is able to get there,
[1261.00 - 1268.00] P:1179.21 E:0.093554 |  and England have it back again inside their own half, just in front of where Greg, their halter is standing,
[1268.00 - 1279.00] P:1174.09 E:0.099479 |  their halter, their headed, with his grey T-shirt on, Rice, and now back to Stokes, the drum, you can hear the rhythm,
[1279.00 - 1286.00] P:1087.93 E:0.096977 |  there's someone dressed as a Yankee soldier, I noticed right in the front row of the US section, the main US section,
[1286.00 - 1292.00] P:1032.22 E:0.093743 |  he's got a big civil war style drum as well with him, and that I assume is what you can hear.
[1292.00 - 1301.00] P:1151.46 E:0.086814 |  England with McGuire then goes back to Stones, and Stones uses Declan Rice, who just moves to the right, and passes it to Trippian.
[1301.00 - 1306.00] P:1168.29 E:0.090403 |  Trippian takes a touch, and then England go back to Rice again, nil nil.
[1306.00 - 1313.00] P:1199.44 E:0.091988 |  James Madison is here by the way, but has not yet started training with England, but I got the impression from Garis Southgate
[1313.00 - 1320.00] P:1313.50 E:0.088867 |  that there might be news on that after this game, maybe in the next couple of days that Madison might be able to join England training.
[1320.00 - 1327.00] P:1496.67 E:0.086682 |  Back it comes into central defence, Kyle Walker and Calvin Phillips on the bench again, England naming an unchanged site tonight,
[1327.00 - 1333.00] P:1423.64 E:0.086382 |  if you haven't heard incidentally for the first time since the World Cup semi-final of four and a half years ago,
[1333.00 - 1345.00] P:1435.80 E:0.084651 |  he has Mount on the right flank, Mount plays it in field, but it's Tyler Adams to put it out of play, and here in Trippian will take this.
[1345.00 - 1354.00] P:1501.99 E:0.093858 |  Lovely night again, temperature wise here, even though it was sultry outside, it just feels right for football inside with the air conditioning.
[1354.00 - 1362.00] P:1581.93 E:0.091918 |  Yeah, really good atmosphere, and it just feels... just watching the game and the players passing the ball and looking at the state of the pitch in the centre circle,
[1362.00 - 1371.00] P:1471.17 E:0.095926 |  it looks great, it also seems, judging by how the players are passing the ball, really, really hard and slightly difficult to control.
[1371.00 - 1378.00] P:1425.37 E:0.089736 |  You've seen a lot of players mis-touch, misplace passes, not in terms of they've lost it and it's a horrendous pass or anything like that,
[1378.00 - 1382.00] P:1476.57 E:0.091179 |  it just seems a little bit harder to control and a little bit faster than they used to.
[1382.00 - 1389.00] P:1542.76 E:0.099980 |  Bellingham playing it to Trippian on the right-hand side, lovely change of feet to take it away from Robinson, but then Moosa again in with a challenge, impressive.
[1389.00 - 1395.00] P:1524.37 E:0.090960 |  Again, big challenge on Bellingham, now big challenge on Trippian, but England played out to the left-hand side,
[1395.00 - 1401.00] P:1631.13 E:0.096877 |  Sterling's got that down nicely in the full-back position and he's running at test, and he's into the penalty area, and it bounces right across the box,
[1401.00 - 1408.00] P:1426.16 E:0.084237 |  but it's cleared away by Reem, comes out to Declan Rice though, good to see that from Sterling having a goal, running out the defender.
[1408.00 - 1414.00] P:1465.14 E:0.080139 |  Well, the switch was on, said before, the switch is on and that was a fantastic ball out, I mean a wonderful touch to set him off.
