[0.00 - 11.00] P:1617.17 E:0.100990 |  For what has been described as a period of silence in memory of Her Majesty Queen Elizabeth II.
[525.00 - 533.00] P:1769.03 E:0.098528 |  Mattip passes the ball forward, Mohsala now coming in off the right touch line, right corner of the area, feeds it through to Alexander-Arnold,
[533.00 - 540.00] P:1894.99 E:0.108013 |  back towards Salah, Ajax get the ball away through Bassi but Bassi and Ajax are sitting very deep in defence.
[540.00 - 550.00] P:1770.36 E:0.092105 |  They are a quick free kick there from Liverpool and a good run from Alexander-Arnold, just moved into an inverted midfield position
[550.00 - 560.00] P:1596.80 E:0.087176 |  and then Salah off the right hand side, fed the ball to him but Ajax scramble the ball to safety but Liverpool 40 yards out,
[560.00 - 566.00] P:1783.09 E:0.095072 |  right hand side of the Ajax box with a free kick, too far to shoot I think.
[566.00 - 574.00] P:1720.72 E:0.110717 |  Exeter have got a second, the four middles for player Jonathan Grounds at Shrewsbury, there 2-0 up, Peter Brinil fleet would want a ladies' score also in league one,
[574.00 - 585.00] P:1749.95 E:0.084085 |  free kick for Liverpool, champions league night here at Anfield, 0-0, been playing for eight minutes, central position, actually right of centre,
[585.00 - 594.00] P:1808.10 E:0.091314 |  Alexander-Arnold to wrap it in, goes through a crowd of players, arcs its way through them and out of play for a goal kick.
[594.00 - 599.00] P:1664.42 E:0.087625 |  But Ajax are the ones who found themselves under pressure in these opening eight minutes.
[599.00 - 611.00] P:1755.47 E:0.088840 |  Yes, I suppose we expected Liverpool with the hurt they would have been feeling after last week's performance and result against Napalator,
[611.00 - 619.00] P:1778.70 E:0.102164 |  really come out of the blocks this evening and take the game to Ajax, that's what we've been accustomed to haven't we, under Jurgen Klopp,
[619.00 - 625.00] P:1586.52 E:0.077019 |  front foot football, fearless football, hasn't been that so far this season though.
[625.00 - 638.00] P:1692.08 E:0.083044 |  Shrewsbury have got a goal back now, Shrewsbury 1-0-0-2, Alexander-Arnold in field, Ajax coming forward, Taddex fouled inside the centre circle by Luis Díaz
[638.00 - 645.00] P:1642.22 E:0.084362 |  and after Díaz the Portuguese referee gives a free kick to the Dutch side.
[646.00 - 658.00] P:1591.38 E:0.087517 |  Slightly fortunate there, Luis Díaz, Taddex got the other side of him there running towards the Liverpool goal, first foul but maybe slightly fortunate not to see yellow.
[658.00 - 668.00] P:1628.03 E:0.085899 |  Number of players will be maybe familiar to you, one of them is Calvin Bassi, formerly of Rangers, came through Leicester City's youth system.
[669.00 - 675.00] P:1796.95 E:0.101621 |  Another one was Steven Bergwein who just got a little touch there trying to help it out towards the left hand side,
[675.00 - 687.00] P:1710.71 E:0.083722 |  Ducan Taddex of course from Southampton, Steven Berghaus didn't have a spell at Watford, just in the 11 appearances between 2015 and 2017
[687.00 - 694.00] P:1745.36 E:0.086621 |  and Daly Blint who actually had a good record playing against Liverpool during his time for Manchester United, he only lost one of six,
[694.00 - 708.00] P:1744.30 E:0.078969 |  that defeat coming here in a Europa League match and in fact it is Daly Blint who takes the throw and hence the booze on that far side.
[708.00 - 717.00] P:1817.28 E:0.083249 |  Handball, Liverpool have a free kick and it remains 0-0, in fact there could have been a number of these players who could have still been playing in the Premier League,
[717.00 - 731.00] P:1786.00 E:0.082763 |  Everton showed interest in Mohamed Kudas in the summer window and Edson Alvarez was a target for Chelsea, both were unhappy that Ajax didn't sanction the moves,
[731.00 - 736.00] P:1696.80 E:0.077364 |  however to their credit they both seem to have settled down quite quickly.
[736.00 - 745.00] P:1747.09 E:0.096523 |  0-0 Champions League night on BBC Radio 5 Live, we've already brought you that dramatic finish where Sporting Lisbon beat Tottenham Hotspur by two goals for 0
[745.00 - 750.00] P:1809.42 E:0.090726 |  and tomorrow night we're at the 80 had for Manchester City against Borussia Dortmund.
[750.00 - 765.00] P:1675.11 E:0.082456 |  Simacass on this near side forward to Luiz Tia, short of the half way line, back to Simacass outside of the left boot and it was Timber who climbed above Jota and out it goes for a throw.
[765.00 - 768.00] P:1835.57 E:0.091898 |  11 minutes play, what have you made of the start Chris Sun?
[768.00 - 779.00] P:1662.06 E:0.096905 |  I think Liverpool have come out and they've tried to be positive and take the game to Ajax but not really found any real rhythm just yet.
[779.00 - 791.00] P:1547.87 E:0.083117 |  That slickness in the final third, haven't seen any of that, Thiago has played a couple of nice passes, we've seen Jota now receive the ball, he's come deep and that centre forward roll,
[791.00 - 796.00] P:1607.35 E:0.080625 |  linking the play up but just lacking that spark, that moment.
[797.00 - 805.00] P:1722.53 E:0.102604 |  Here is Elliot just over the half way line, his pass so easily intercepted by Alvarez who saw it coming, raced onto it to break up the play.
[805.00 - 819.00] P:1765.86 E:0.092390 |  Ajax now have Tanec on this near side the right, Birkhouse goes on the outside as a decoy, back to Alvarez, Ajax now send everybody forward so every outfield player is in the Liverpool half towards our right hand side
[819.00 - 830.00] P:1836.64 E:0.097258 |  but it's still 0-0 here on 5-5, Basi, little lax, didn't control the ball and as a result of that he's forced to go back to the goalkeeper all in blue
[830.00 - 840.00] P:1733.45 E:0.088027 |  and Liverpool can try and put Ajax under pressure midway through their own half with Basi, little touch to Birkhouse, back to his keeper,
[840.00 - 849.00] P:1750.96 E:0.088992 |  Tanec goes out of his penalty area now and strikes it right footed long, Van Dyke challenged in the air, helped on by the head of Simicas,
[849.00 - 860.00] P:1876.19 E:0.101882 |  referee sees no foul, Tanec now picks it up for Ajax, right corner of the area, plays it forward, here is Kudos the angle is tight and Marshall safely out for a goal kick by Matip,
[860.00 - 870.00] P:1697.39 E:0.092783 |  Absolutely fending, it was, Matip did extremely well, actually came from a long ball Van Dyke, winning the header,
[870.00 - 885.00] P:1628.89 E:0.084127 |  Ajax picking up the knock down and Tanec inside on his left foot, clever little run from Kudos and Matip stays on his feet, doesn't go to ground and Ushas Kudos away from goal,
[885.00 - 894.00] P:1806.05 E:0.104296 |  more like a play for a Liverpool goal kick. Alexander-Arnold mixed it away from Blint, the left back had come out of position to try and press the England international,
[894.00 - 904.00] P:1755.46 E:0.091670 |  Salah now can try and exploit that gap but Blint was back there, helped out by Basi and Ajax have actually done well on, urged on by that travelling support,
[904.00 - 914.00] P:1850.58 E:0.100901 |  a boisterous punch and they might have something to cheer here as a diagonal ball was looking towards Mohammed Kudos but it was cut out by Van Dyke,
[914.00 - 926.00] P:1682.30 E:0.084324 |  they were in, arrived early at Anfield this evening, I don't think they've stopped singing throughout the whole night, nearly 3,000 of them away towards our left hand side,
[926.00 - 940.00] P:1642.58 E:0.091528 |  Liverpool 0, Ajax 0 remains the scoreline here on BBC Radio 5 Live, Stoke City leading at Hull in the championship by Eagleton 0 and in the Lancashire Derby it's Preston 0, Burnley 1,
[940.00 - 950.00] P:1869.06 E:0.089102 |  that was an 8 o'clock kick off but Burnley have scored early there as the ball is cleared away by the goalkeeper Passfield,
[950.00 - 961.00] P:1818.61 E:0.087054 |  Elliott will keep it in play, Wickham lead Attrington by Eagleton 0, Ipswich leading Bristol Rovers 1-0, Huddersfield 0, Wigan 1 is a latest score also in the championship,
[961.00 - 968.00] P:1811.54 E:0.080021 |  Huddersfield 4 without a win and Cheltenham 0, Cambridge United 1, let's get an update from Swansea, Laura Kenyon.
[968.00 - 979.00] P:1678.70 E:0.103995 |  Swansea 0, Sheffield United 0, chances at both ends, Olly McBurnie put one over the bar from close range for the league leaders, evenly poised though, plenty of Swansea threat and after half an hour it's 0-0.
[979.00 - 989.00] P:1755.28 E:0.093246 |  Bruges looking to make it 2-1's out of 2 in Group B and leading away at Porto by Eagleton 0 in the Champions League, back to the championship, Lee Blakeman, Blackburn 0, Wattford 0,
[989.00 - 996.00] P:1705.71 E:0.096527 |  Blackburn by far and away, the better of the two teams, they're Britain, Diaz and Hedges have both gone close but had their shot saved by Backman, 0-0.
[996.00 - 1007.00] P:1848.55 E:0.101132 |  Alexander-Arnold running forward, Elliott on the overlap, Alexander-Arnold fires over the cross from the right corner of the area, diving forward was the fair-haired goalkeeper,
[1007.00 - 1011.00] P:1852.15 E:0.073792 |  Greco-Passvere, comfortable save, goalless, Chris Sutton.
[1011.00 - 1021.00] P:1706.63 E:0.089023 |  Yep, Harvey Elliott just making the overlap and Dailey-Blind backing off, Alexander-Arnold, do you expect better from him than that crossing position?
[1021.00 - 1027.00] P:1804.68 E:0.088877 |  Normally he's really accurate but straight through to Passvere.
[1027.00 - 1032.00] P:1941.31 E:0.103081 |  Here is Jota picking up a loose ball, tries to squeeze it through.
[1032.00 - 1034.00] P:1711.19 E:0.087591 |  Swayze's most out of that went far too early.
[1034.00 - 1039.00] P:1914.24 E:0.086190 |  Offside, Flags raised, pre-kick to Ajax.
[1041.00 - 1045.00] P:1858.90 E:0.089987 |  There are just signs that it's just not clicking in that final third still for Liverpool.
[1045.00 - 1057.00] P:1819.67 E:0.084996 |  Yep, I think it's Bournemouth's side, the story of Liverpool's season in both penalty areas, they just haven't been good enough.
[1057.00 - 1064.00] P:1843.93 E:0.088801 |  They need to find a way of getting over the line and find a way of regaining that confidence.
[1064.00 - 1074.00] P:1833.50 E:0.090563 |  Once you just see Ajax, the longer this half goes on, getting a foothold in this game, gaining confidence.
[1076.00 - 1092.00] P:1887.73 E:0.092510 |  Preston 1-1, equaliser for Preston at deep-down in the championship, Passvere clears, Simikas and Tadich holding each other and it's Tadich the captain backing into the Liverpool left-back who is the offender in the eyes of the assistant referee.
[1092.00 - 1093.00] P:1787.78 E:0.080987 |  Down to Leib.
[1093.00 - 1097.00] P:1694.16 E:0.092744 |  He's not done anything wrong there, a 6-1 half, a dozen of the other.
[1097.00 - 1102.00] P:1778.07 E:0.096679 |  I think Tadich furious with that decision, just letting the assistant know his feelings.
[1103.00 - 1111.00] P:1891.62 E:0.117924 |  Here is Jota, just outside the D. He finds Mo Salah in the penalty area and Mo Salah scores.
[1111.00 - 1125.00] P:1963.98 E:0.117228 |  Finds the back of the net, off that trusty left-back. Liverpool in the 17th minute, take the lead, Jota with the assist and Mo Salah for his first goal in 8 attempts in the Champions League.
[1125.00 - 1127.00] P:1966.83 E:0.117577 |  Gives Liverpool the advantage, 1-0.
[1128.00 - 1131.00] P:1785.23 E:0.126971 |  It's a clinical finish from Mo Salah.
[1132.00 - 1133.00] P:1548.32 E:0.132270 |  Is this the spark?
[1134.00 - 1140.00] P:1912.40 E:0.114746 |  Liverpool have needed to get their season going and it's a long ball from Alisson.
[1140.00 - 1145.00] P:1873.90 E:0.100015 |  DS wins the first head-up and then Jota feeds the ball out to Salah.
[1146.00 - 1149.00] P:1771.74 E:0.109462 |  I don't know what Daley Blinder is doing, he just let Salah run.
[1150.00 - 1154.00] P:1633.06 E:0.120257 |  And Salah, superbly clinical, lovely pass from Jota.
[1154.00 - 1158.00] P:1754.58 E:0.116863 |  One touch with his right foot actually, a little bit of a heavy touch with his right foot.
[1158.00 - 1165.00] P:1734.51 E:0.106417 |  Pass bit, routed to a six yard line and Mo Salah beats him down to his left-hand side.
[1167.00 - 1171.00] P:1789.94 E:0.112842 |  Just before that the Liverpool supporters have been singing his name.
[1172.00 - 1178.00] P:1741.20 E:0.113909 |  Now it reverberates around Anfield because Liverpool have got the lead that they so wanted.
[1179.00 - 1186.00] P:1776.47 E:0.109111 |  And for Mo Salah, who hasn't been firing on all cylinders this season, he's got the goal that he creates.
[1187.00 - 1192.00] P:1939.25 E:0.111974 |  First goal in the Champions League since February against Inter Milan.
[1194.00 - 1196.00] P:1771.76 E:0.106635 |  Just what Liverpool wanted.
[1196.00 - 1204.00] P:1763.06 E:0.107879 |  Yep, and the truth is, I think, however they got the goal, no Jürgen Klopp, it didn't matter, it doesn't matter.
[1204.00 - 1211.00] P:1789.43 E:0.098986 |  Long ball from Alisson, DS did really well to win the first header and then Jota nicely composed.
[1211.00 - 1220.00] P:1700.06 E:0.085708 |  Salah actually a poor first touch, but still had time to pick his spot, clinical with his left foot.
[1221.00 - 1228.00] P:1718.55 E:0.101030 |  MK John Snell, Bolton won the latest score in League One and Hartley-Paw United were actually yet to win this season,
[1228.00 - 1231.00] P:1719.02 E:0.101987 |  a leading crew at Victoria Park by a Galton-Evan League two.
[1231.00 - 1236.00] P:1829.33 E:0.103101 |  There is Berghaus out to Taddish, right corner of the penalty area.
[1236.00 - 1240.00] P:1901.12 E:0.104195 |  Taddish's cross takes the deflection, might fall towards Taylor, waits for it to settle.
[1240.00 - 1245.00] P:1857.82 E:0.104187 |  Now Berghaus, Berghaus puts the ball, late flag, now it's raised, wouldn't have counted.
[1245.00 - 1248.00] P:1754.17 E:0.112603 |  Oh yes, I think he was in an offside position.
[1251.00 - 1258.00] P:1523.54 E:0.090578 |  It's actually a poor effort from Taylor, 18-19 yards left-hand side of the box,
[1258.00 - 1266.00] P:1591.72 E:0.087183 |  but initially the move is good, but the cross is blocked from Taddish and Taylor's 16 yards out, fires a shot,
[1266.00 - 1276.00] P:1672.54 E:0.088062 |  but Berghaus 7 yards out, Trotsville onto the Liverpool crossbar, the yard offside.
[1277.00 - 1279.00] P:1768.63 E:0.102395 |  Do you can see a little bit of role play?
[1281.00 - 1282.00] P:1467.75 E:0.101122 |  Go on.
[1282.00 - 1286.00] P:1666.25 E:0.103292 |  Well, I was just thinking you could take on the role of my maths teacher.
[1287.00 - 1294.00] P:1679.30 E:0.096041 |  If it was 8 hours 50 minutes without a goal that they hadn't conceded coming into the game,
[1294.00 - 1301.00] P:1799.53 E:0.107963 |  do you concur that it's now 9 hours 7 minutes, the first goal that Ajax had conceded?
[1304.00 - 1308.00] P:1838.90 E:0.106995 |  Would you give me an A plus or a B for effort maybe?
[1309.00 - 1313.00] P:1663.99 E:0.109378 |  I'd give you, I mean it's pretty basic, I'd give you a D for really basic.
[1314.00 - 1316.00] P:1752.87 E:0.106842 |  You didn't see my maths reports.
[1316.00 - 1321.00] P:1678.78 E:0.113624 |  Here is Lewis Diaz, Liverpool lead by a goal to 0, Crawley 2, stop, Port 1.
[1321.00 - 1326.00] P:1712.72 E:0.095654 |  Simacast just tried to get the better of a wrench on this near side, comes back to Lewis Diaz
[1326.00 - 1331.00] P:1748.34 E:0.094804 |  who's actually walking the ball towards the left corner of the penalty area.
[1331.00 - 1338.00] P:1735.56 E:0.093406 |  Simacast, Jota all getting a touch now, back with Fabinho, but it was a nice play by Thiago,
[1338.00 - 1342.00] P:1904.21 E:0.119015 |  and then he's needlessly brought down by Julian Simba.
[1344.00 - 1347.00] P:1802.99 E:0.114845 |  Fortunately they get away without a yellow card, free kick to Liverpool.
[1348.00 - 1352.00] P:1762.92 E:0.099185 |  Truthsbury 2, Exeter 2, Exeter worked 2-0 up there in League 1
[1352.00 - 1355.00] P:1673.51 E:0.094527 |  and Crawley are leading stop-port by 2 goals to 1.
[1355.00 - 1360.00] P:1784.34 E:0.097420 |  The goals as they go in on BBC Radio 5 Live, Champions League coverage here at Anfield
[1360.00 - 1366.00] P:1737.26 E:0.094652 |  and Liverpool leading by a goal to 0 through Mo Salah and his fourth goal of the season.
[1366.00 - 1372.00] P:1700.74 E:0.092925 |  That was lovely from Thiago, wasn't it? Shaped it, go back past the ball to Van Dijk,
[1372.00 - 1376.00] P:1532.07 E:0.078892 |  one of his defenders, Taditch bought it and went the other way
[1376.00 - 1380.00] P:1742.45 E:0.095827 |  and brought down opportunity for Liverpool from this free kick.
[1382.00 - 1385.00] P:1748.92 E:0.108112 |  Alexander-Arnold leaves it for Simacast, kills it in,
[1385.00 - 1390.00] P:1732.36 E:0.088554 |  and a clash between Blint and Fabinho off the ball, they've both gone to ground.
[1390.00 - 1394.00] P:1851.18 E:0.110977 |  It's hoisted to Agli Bove and Dijk has stayed forward, only partially clear,
[1394.00 - 1399.00] P:1899.76 E:0.114542 |  comes down to Lewis Diaz and on the half-bolly just by the penalty spot, right footed.
[1399.00 - 1402.00] P:1999.10 E:0.110597 |  He's dragged it wide in the left hand post.
[1402.00 - 1407.00] P:1931.84 E:0.102554 |  And a shake of the head from Lewis Diaz, it's a long ball from Simacast,
[1407.00 - 1416.00] P:1731.57 E:0.097888 |  high ball, looping ball, Van Dijk heads the ball back towards goal, Alvarez can't get the distance on the header
[1416.00 - 1424.00] P:1672.70 E:0.081344 |  and Diaz on his chest near the penalty spot, takes a touch and chokes the ball into the ground
[1424.00 - 1428.00] P:1855.87 E:0.095063 |  and wide as the Ix goal, big chance for Liverpool.
[1429.00 - 1436.00] P:1821.77 E:0.101741 |  Here is Elliot, when last week Thiago again nicely done, Jota shoots from distance
[1436.00 - 1441.00] P:1954.91 E:0.112654 |  and he's pulled it 25 yards outright, but again it was another chance,
[1441.00 - 1447.00] P:1901.04 E:0.107939 |  Liverpool are creating opportunities and you can see the confidence starting to return to these Liverpool players.
[1447.00 - 1453.00] P:1762.57 E:0.092538 |  Yeah, I think a large part of that has been Thiago, just that sharpness in midfield,
[1453.00 - 1460.00] P:1613.40 E:0.086329 |  driving past Alvarez, feeding the ball to Jota, who fires the ball on the half-turn,
[1460.00 - 1464.00] P:1715.29 E:0.098395 |  initially fires the ball wide in 25 yards.
[1467.00 - 1474.00] P:1842.66 E:0.105710 |  Well, last week Jürgen Klopp, when he was referring to that performance in Naples, said it was a horror show.
[1474.00 - 1477.00] P:1817.60 E:0.108943 |  8 of the 11 were below their level.
[1477.00 - 1480.00] P:1825.38 E:0.114772 |  You'd have said that it wouldn't have included Lewis Diaz,
[1480.00 - 1483.00] P:1904.04 E:0.117160 |  it probably wouldn't have included Young Harvey Elliot.
[1483.00 - 1489.00] P:1890.21 E:0.109167 |  And now you throw in Thiago, who's influenced his cliff, are all to see in the midfield.
[1490.00 - 1497.00] P:1756.00 E:0.112546 |  And Liverpool just starting to get back into the stride that we know that they are capable of.
[1497.00 - 1500.00] P:1771.19 E:0.114460 |  Goal and he would park in the championship, leave late.
[1500.00 - 1505.00] P:1533.33 E:0.113427 |  Has been coming Blackburn 1, Watford 0, good move down the right, pulled back,
[1505.00 - 1510.00] P:1868.94 E:0.102452 |  hedges, fired it in from the edge of the area, right on half-time, Blackburn 1, Watford 0.
[1510.00 - 1516.00] P:1793.83 E:0.103388 |  And Swindon have equalised at home to Sutton in League 2, Swindon 1, Sutton 1, Ajax are attacking,
[1516.00 - 1522.00] P:1906.90 E:0.106908 |  Wrench coming forward the right back, finds Bergwein, breaks away from it and in towards Alisson.
[1526.00 - 1530.00] P:1716.38 E:0.108866 |  Lewis Diaz there, just a little bit careless, what a ball that is from Alisson.
[1530.00 - 1537.00] P:1816.97 E:0.101098 |  The distribution from the goalkeeper is picked out, Jotter keeps it in play, down by the left-hand side,
[1537.00 - 1544.00] P:1892.45 E:0.116424 |  in towards the near post and Blint has to track the run of Mo Salah, last touch-off Salah behind for a goal kick.
[1544.00 - 1550.00] P:1893.17 E:0.106993 |  Barrow leading Doncaster by a goal to them in League 2, Barrow third this morning, 1-0 up at home there.
[1550.00 - 1559.00] P:1711.44 E:0.102161 |  How good was that from Alisson, the distribution on the volley finds Jotter out on the left-hand side.
[1560.00 - 1569.00] P:1857.34 E:0.099916 |  He drives to near the byline and fires a ball across and Mo Salah level with the near post six yards out, can't find the target.
[1570.00 - 1581.00] P:1738.91 E:0.098757 |  Heading away by Simicast, Tiago little lunge from behind was it by Taddick, referee says not,
[1581.00 - 1591.00] P:1607.21 E:0.095031 |  and it's given a throw, no it's a free kick to Ajax just inside their own half as they play from left to right,
[1591.00 - 1598.00] P:1698.62 E:0.090037 |  treading by the goal to nil. The other game of course in Group A, scheduled for tonight,
[1598.00 - 1606.00] P:1664.30 E:0.096790 |  but has been switched, pushed back for 24 hours, no away supporters will be allowed in Ibrox,
[1606.00 - 1612.00] P:1727.52 E:0.105478 |  Rangers taking on Napoli tomorrow and then UEFA have decided that in the interest of fairness,
[1612.00 - 1620.00] P:1716.20 E:0.092931 |  no away supporters will be inside or allowed to travel to Naples for the return,
[1620.00 - 1627.00] P:1614.75 E:0.080335 |  but certainly opens it up a little bit now if Liverpool can get the three points,
[1627.00 - 1633.00] P:1583.49 E:0.086757 |  with then to come the back to back games against Stephen Gerrard's former side.
[1634.00 - 1644.00] P:1569.01 E:0.085119 |  After the international break when football resumes in October, Berkhaus to Vassi,
