[0.00 - 6.00] P:1606.65 E:0.255550 |  Yes, thanks Mark. Welcome to Kaliningrad. We're up here on the Baltic Sea coast.
[208.00 - 221.00] P:1678.00 E:0.267711 |  So Courtois in goal, Dendonka Boyatta and Vermalen in central defence, Chadli Dembele Filene and Azad, that's Torgan Azad, Eden's younger brother with Yuri Telemann's Adnan Yannisai and then Nitchi Batjawe.
[222.00 - 234.00] P:1684.53 E:0.264824 |  So we'll only know Chris Waddle how this is going to shape up once we see kickoff and we see exactly what sort of rhythm and style we're going to be able to describe this evening.
[234.00 - 240.00] P:1779.91 E:0.252280 |  England drop off to the at-in yard lane and Belgium drop off to the at-in yard lane and we'll just pass the ball 50 yards each other.
[240.00 - 246.00] P:1756.42 E:0.274240 |  We just hope it's a good game and we hope they go for it. No matter where wins a group, wherever they go, they move on.
[246.00 - 250.00] P:1822.66 E:0.264029 |  This is England's real first test, even though they've made a lot of changes.
[250.00 - 254.00] P:1782.76 E:0.245479 |  Belgium tonight still got a lot of quality out there, some really talented players.
[254.00 - 260.00] P:1881.16 E:0.257828 |  But England's made a lot of changes so we still haven't really saw England's first team play a real strong side yet.
[260.00 - 268.00] P:1741.78 E:0.262568 |  Chris Waddle, 62 caps for England, played at the World Cup in Mexico and Italy and we're watching England against Belgium.
[268.00 - 279.00] P:1748.56 E:0.269722 |  Not what we anticipated it would be, but really for them both it's for all the right reasons because they are the two Group G teams who've won two out of two so far at this World Cup.
[279.00 - 282.00] P:1727.41 E:0.290732 |  They're lined up ready for kickoff here in Kaliningrad.
[282.00 - 290.00] P:1822.66 E:0.268371 |  So we're ready for the last 90 minutes of group action at this 2018 World Cup in Russia.
[290.00 - 297.00] P:1884.38 E:0.277585 |  England will kick off, Rashford will kick off for England and he plays the ball back to John Stones.
[297.00 - 303.00] P:1875.08 E:0.242523 |  Who immediately gives Phil Jones a first touch of the ball at this World Cup.
[303.00 - 308.00] P:1743.94 E:0.245671 |  Remember he played against Costa Rica in the final group match four years ago.
[308.00 - 315.00] P:1701.29 E:0.272147 |  Phil Jones. Now Gary Cahill with all of his experience, the most experienced man in terms of caps in this England squad.
[315.00 - 319.00] P:1744.96 E:0.242160 |  And England go all the way back to Jordan Pickford to our left.
[319.00 - 329.00] P:1750.08 E:0.242792 |  So the formula this evening, whoever does end up winning the group will be playing Japan in the last 16.
[329.00 - 334.00] P:1601.08 E:0.274004 |  As England looked to set away Vardy but the pass was a little heavy from centrefield and is straight through for a goal kick.
[334.00 - 338.00] P:1745.05 E:0.251423 |  And the runners-up in this section will play Columbia.
[338.00 - 347.00] P:1701.85 E:0.267597 |  All of the various reasons why England in inverted commas don't want to win the group because it'll be the easier side of the draw.
[347.00 - 358.00] P:1744.56 E:0.261442 |  Because it will involve less travel, because there'll be an extra day if you come through in the second position in the group before you play a match in the last 16.
[358.00 - 362.00] P:1661.04 E:0.273265 |  And also what the weather might be like, how hot it might be in Rostov.
[362.00 - 369.00] P:1756.39 E:0.237999 |  But as far as I'm concerned, and England have conceded a throw-in down in front of us, there are many players out there.
[369.00 - 376.00] P:1653.48 E:0.265825 |  There are players all over the pitch here who tonight are playing for places in the knockout stages of the World Cup.
[376.00 - 381.00] P:1716.54 E:0.244189 |  England, White shirts, blue shorts, white socks and Belgium playing the ball back.
[381.00 - 386.00] P:1751.07 E:0.335232 |  Vardy's onto this, Vardy on the right-hand side, Rashford's in the middle and Quadswell kicks it away.
[386.00 - 394.00] P:1774.20 E:0.246182 |  Comes out to Delph in the D and as he's challenged the ball runs away from him and then Fellaini gets a shove in the back from Fabian Delph.
[394.00 - 402.00] P:1712.95 E:0.259195 |  And Belgium take a quick free kick actually. So England have got to be smart here and Trent Alexander-Arnold deflects the ball out of play.
[402.00 - 407.00] P:1737.40 E:0.277524 |  And they think England started the break-off and they've chased things down, they've got a good tempo about them, Vardy there.
[407.00 - 415.00] P:1751.71 E:0.265704 |  Sloppy pass by Azad, who's playing left wing back tonight. Sloppy pass Vardy gets onto it and I don't know what Quadswell was thinking, they're kicking it away.
[415.00 - 421.00] P:1728.98 E:0.237920 |  But at the minute England have started break and Belgium, Matillam is actually sitting with them, Bellion.
[421.00 - 425.00] P:1647.41 E:0.279804 |  Fellaini's actually playing as the second sort of third striker.
[425.00 - 436.00] P:1725.49 E:0.228527 |  Yeah, he is. Almost right up alongside Michibachiouai with, out on the right-hand side for Belgium at Manjana's eye.
[436.00 - 446.00] P:1698.84 E:0.228772 |  It's the same for Belgium this evening. This team tonight as it's headed away by Dan Donkat on the right-hand side of the Belgian backline.
[446.00 - 451.00] P:1709.43 E:0.301547 |  And now Moussa Dembele is very nearly shrugged off the ball by Jamie Vardy who's nipping away at him.
[451.00 - 459.00] P:1704.37 E:0.273701 |  He got a touch on the ball but Dembele recovered very well. We know so well his strength and Belgium are able to play it up the right-hand side towards Yanisai.
[459.00 - 467.00] P:1733.61 E:0.247194 |  But K-Hill got there first and K-Hill turns and finds the pass back to Pickford who with his left foot pulls it across to Jones.
[467.00 - 470.00] P:1566.26 E:0.256343 |  And England building from the back with Trent Alexander-Arnold.
[470.00 - 477.00] P:1694.89 E:0.299519 |  As I say his first competitive appearance for England made his debut just before the World Cup at Elend Road against Costa Rica so this is a second cap.
[477.00 - 480.00] P:1573.02 E:0.272963 |  Here's Danny Rose on the left-hand side playing instead of Jung tonight.
[480.00 - 485.00] P:1744.79 E:0.275687 |  Rose's ball. This is a nice one for Rashford to chase which he does into a full-back position.
[485.00 - 489.00] P:1755.78 E:0.278250 |  But Boyatta comes across and just passes that out of play for an England throw down the left.
[489.00 - 490.00] P:1654.38 E:0.274115 |  Neil Nill.
[490.00 - 497.00] P:1751.92 E:0.239406 |  Well, I just probably think at the minute it's a canceling each other out. It's a quite high tempo game and whoever gets the ball there's a lot of pressure on it.
[497.00 - 501.00] P:1794.64 E:0.267330 |  Not many people are dealing with it very well at the minute. They're giving the ball away. Cheaply ball teams.
[501.00 - 519.00] P:1750.92 E:0.245225 |  BBC Radio 5 Live with England at the World Cup live from Kaliningrad which is the most westerly of the venues in this exclave, this Russian exclave between Poland and Lithuania on the Russian coast of the Baltic coast.
[519.00 - 526.00] P:1802.12 E:0.242235 |  It's actually the home of the Baltic fleet here, the Russian Baltic fleet, the great might of the Russian Navy.
[526.00 - 538.00] P:1776.42 E:0.276812 |  Here's Delph on the left-hand side for England. Delph looks to lay it back into the penalty area for Rashford but the covering challenge comes in from Dendonka who just chips it out but the offside flag is up and it's a free kick to Belgium.
[538.00 - 544.00] P:1675.97 E:0.259312 |  England start a break again. They're moving the ball quick. Waiting for Belgium to settle a later, keep a possession game.
[544.00 - 549.00] P:1819.50 E:0.234168 |  Look after the football at the minute to find it difficult because England's in the faces.
[549.00 - 558.00] P:1756.04 E:0.247332 |  And again just to explain it for you, at the top of this group England are level on points with Belgium. They're level on goal difference with Belgium.
[558.00 - 573.00] P:1653.08 E:0.260352 |  They've both scored eight goals so at the moment as it stands they would be separated. Oh, there's a back pass from Van Marlen that was behind Boyetta and I think Kortua must have been looking the other way and actually Vardy was looking the other way as well otherwise he could have been in there.
[573.00 - 582.00] P:1667.63 E:0.240196 |  So at the moment they would be separated by their disciplinary record and Belgium have had one more yellow card than England.
[582.00 - 594.00] P:1685.93 E:0.252414 |  They will have to see what happens on that front this evening as well. Goal of Southgate was joking last night that if towards the end of the game he went across and headbutted Roberto Martinez then you'd know exactly what he wanted.
[594.00 - 609.00] P:1700.67 E:0.257340 |  It was a joke. Here's Van Marlen to the left hand side to Torgan Hazard and Hazard rolls it back into the Belgian half where Van Marlen chips it forward and Jones is just collided with the back of his Manchester United team-mates head,
[609.00 - 621.00] P:1686.47 E:0.253476 |  caught the side of his jaw. Fellainy of course is out of contract at Manchester United. Fellainy on the stretch, Delph comes across and England are back in possession with Loftus-Chic and Trent Alexander Arnold.
[622.00 - 631.00] P:1682.92 E:0.277825 |  Now Eric Dyer is beaten to the ball by Fellainy. Dembale plays it across, took it a flexion into the path of Yannisai and Yannisai now weaves out towards the right hand side.
[631.00 - 640.00] P:1739.24 E:0.283919 |  The support out there from Nasser Chadli just relegated with West Brom. Chadli then into a central position where the shot is saved by Pickford.
[640.00 - 650.00] P:1817.73 E:0.272377 |  A sort of stunning dipping effort that was from the central area and a very good reaction saved.
[650.00 - 656.00] P:1789.00 E:0.265277 |  A great effort, good build up by Belgium and moved the place from the left to the middle. He's got too much time on the ball.
[656.00 - 663.00] P:1757.77 E:0.237934 |  He gets one touch out of his feet, bends it within saves. It's a good save for Pickford but you would expect him to save. It was middle of the goal.
[663.00 - 668.00] P:1747.06 E:0.271308 |  Now it's time for the final game of the season.
[668.00 - 678.00] P:1717.68 E:0.249449 |  The number 17, the Monaco Youngster, 21 years old. Jordan Pickford was able to react well and eat it away.
[678.00 - 681.00] P:1714.17 E:0.248656 |  It's still England-nil, Belgium-nil.
[681.00 - 691.00] P:1708.48 E:0.245512 |  Obviously the Panama-Chinesia match is underway. The dead robot, the other final game in the group section in Saransk for the record.
[691.00 - 693.00] P:1654.14 E:0.257023 |  We'll let you know if there are any goals in that one.
[693.00 - 701.00] P:1639.99 E:0.254533 |  England with a ball on the left hand side. Both of these teams coming into this match now having won their opening group games with long unbeaten runs behind them.
[701.00 - 705.00] P:1736.55 E:0.243988 |  It's 12 matches now since England last lost a match over a year ago.
[705.00 - 712.00] P:1690.79 E:0.245863 |  Here is Rashford who tries to play it in field but it's blocked out of play by Dembele for a throw to England on the far side.
[712.00 - 719.00] P:1677.79 E:0.238245 |  Belgium for their part are on a 20-match unbeaten run and that is a Belgian national record.
[719.00 - 724.00] P:1742.13 E:0.229034 |  Each of them have won their last four matches, so both in confidence and form.
[724.00 - 730.00] P:1741.66 E:0.242367 |  England flag is waved in the stand behind where Rose takes this throw in. Back it goes to Delft.
[730.00 - 741.00] P:1715.97 E:0.255418 |  Then the cross from Rose is cleared away on the half volley and it comes out for Yannis I and Eric Dyer is a judge to have fouled him and it's a free kick to the Belgians.
[741.00 - 748.00] P:1629.68 E:0.263609 |  With a little bit of pressure there getting the ball in from the left, Belgian clear on it and Dyer giving a silly free kick away.
[748.00 - 752.00] P:1593.56 E:0.273307 |  It's been quite a lively start. I was expected to be a lot more slower.
[752.00 - 758.00] P:1591.65 E:0.242100 |  I thought the booties would drop off and let them have the ball at the back but it's quite a bit of pressure.
[758.00 - 768.00] P:1703.77 E:0.262595 |  Belgium bringing the ball away and it's Thomas Vermaulen who has had such serious injury problems over the course of years and years now.
[768.00 - 772.00] P:1632.52 E:0.223037 |  Coming into the side but not with Vincent Co.
[772.00 - 777.00] P:1688.80 E:0.256321 |  I saw them both train here last night but Roberto Martinez obviously just erring on the side of Co.
[777.00 - 787.00] P:1739.61 E:0.226745 |  He did not want to take any chances with a player of Co.'s importance in terms of what he means to this Belgian squad.
[787.00 - 790.00] P:1830.61 E:0.210750 |  He has Pickford with the ball at his feet.
[790.00 - 793.00] P:1678.65 E:0.270378 |  A little pass out of the penalty area to Jones.
[793.00 - 795.00] P:1728.06 E:0.262228 |  Alexander-Arnold infield to Dyer.
[795.00 - 802.00] P:1709.00 E:0.255961 |  Dyer turns and rolls it across towards the left-hand side to Gary Cahill and then a forward pass towards Delft.
[802.00 - 807.00] P:1800.41 E:0.252105 |  Delft who we hear will be returning home after this match.
[807.00 - 812.00] P:1678.61 E:0.267932 |  It's a long pass Delft but that's beyond the run of Vardy and Rashford and Courtois is able to come out and pick it up.
[812.00 - 819.00] P:1763.90 E:0.232504 |  His third child is about to be born and the word is that he will be going home for that Fabian Delft.
[819.00 - 821.00] P:1726.98 E:0.237662 |  He has Telemans bringing it forward.
[821.00 - 823.00] P:1645.29 E:0.246422 |  The ball out towards the right-hand side.
[823.00 - 826.00] P:1639.69 E:0.271542 |  Chaddly it is who gives it to Yannis-Eye.
[826.00 - 830.00] P:1494.00 E:0.277695 |  Yannis-Eye, couple of stepovers, couple more stepovers against Danny Rose into the penalty area.
[830.00 - 831.00] P:1715.30 E:0.273734 |  Left foot across to the back post.
[831.00 - 832.00] P:1800.13 E:0.284338 |  Fellainy heads it down.
[832.00 - 835.00] P:1857.87 E:0.312445 |  It's not cleared but Pickford...
[835.00 - 840.00] P:1859.08 E:0.329053 |  It wriggled out of Pickford's grasp but it was cleared off the line by Stones.
[840.00 - 844.00] P:1800.25 E:0.267312 |  The Belgians were appealing for it but it was over the line.
[844.00 - 849.00] P:1768.07 E:0.289984 |  Batuayu obviously got a touch in there because Pickford didn't have it under control as it came across.
[849.00 - 851.00] P:1776.86 E:0.260733 |  It was rather messy the whole thing.
[851.00 - 853.00] P:1779.02 E:0.263573 |  Fellainy headed it across.
[853.00 - 855.00] P:1786.26 E:0.285563 |  It was missed by an aerial kick.
[855.00 - 860.00] P:1770.73 E:0.255315 |  Batuayu was in there and it was scooped away off the line and it did not cross the line.
[860.00 - 863.00] P:1634.72 E:0.249334 |  Gary Cahill gets it away off the line and yeah it didn't go all the way.
[863.00 - 865.00] P:1677.32 E:0.257097 |  The other appealing for it but it did not cross the line.
[865.00 - 868.00] P:1741.32 E:0.262178 |  But if it makes up there, Yannis-Eye getting Rose on the back foot.
[868.00 - 869.00] P:1738.73 E:0.240620 |  Lovely cross to the far post.
[869.00 - 872.00] P:1809.51 E:0.270458 |  Fellainy with nose very strong and he heads it back down.
[872.00 - 873.00] P:1702.23 E:0.220507 |  Bit of a scramble.
[873.00 - 875.00] P:1706.22 E:0.235838 |  Cahill kicks it off the line.
[875.00 - 878.00] P:1714.47 E:0.242851 |  Yeah, Stones who missed his clearance.
[878.00 - 880.00] P:1679.48 E:0.232485 |  Sort of fly kick at the ball.
[880.00 - 881.00] P:1673.32 E:0.322031 |  Batuayu was in there.
[881.00 - 882.00] P:1595.88 E:0.267592 |  It was all at close quarters.
[882.00 - 884.00] P:1706.96 E:0.244909 |  Cahill was there too.
[884.00 - 888.00] P:1714.65 E:0.210740 |  I thought that Pickford had it under control but clearly not.
[888.00 - 891.00] P:1682.27 E:0.277516 |  So an important clearance off the line and it remains England nil.
[891.00 - 894.00] P:1607.00 E:0.291539 |  Belgium nil here on BBC Radio 5 Live.
[894.00 - 898.00] P:1857.09 E:0.249740 |  You can get in touch at 5 Live Sport on social media.
[898.00 - 902.00] P:1811.00 E:0.237843 |  You can listen as well via the BBC Sport website and the app.
[902.00 - 906.00] P:1747.38 E:0.248049 |  And if you do you'll be able to hear England with Trent Alexander-Arnold in possession.
[906.00 - 910.00] P:1826.60 E:0.209569 |  Now Marcus Rashford, his first start at a World Cup.
[910.00 - 914.00] P:1921.48 E:0.153272 |  Now back in towards Stones and Stones.
[914.00 - 918.00] P:1795.50 E:0.263274 |  Just caught there by Batuayu who missed the end of the season.
[918.00 - 922.00] P:1644.44 E:0.279620 |  Batuayu with Bruceya Dortmund but has recovered just in time for the World Cup.
[922.00 - 925.00] P:1750.47 E:0.291194 |  Now Alexander-Arnold receives it from Stones on the right hand side.
[925.00 - 926.00] P:1607.51 E:0.270754 |  A good forward run from him.
[926.00 - 930.00] P:1850.34 E:0.243448 |  Brought it down and he wins the corner off Torgan Azar.
[930.00 - 933.00] P:1863.88 E:0.188178 |  Second corner isn't it today for England?
[933.00 - 935.00] P:1861.88 E:0.303618 |  It was a good ball by Stones.
[935.00 - 937.00] P:1712.61 E:0.295256 |  He did well to get rid of Batuayu on the halfway lane.
[937.00 - 942.00] P:1903.78 E:0.244752 |  The centre circle and diagonal ball out to Alexander-Arnold.
[942.00 - 943.00] P:1866.40 E:0.216011 |  And ends up with a corner.
[943.00 - 946.00] P:1811.87 E:0.266089 |  Here it is. Alexander-Arnold's going to take this.
[946.00 - 948.00] P:1617.61 E:0.277965 |  Most of the Belgian support is at that end.
[948.00 - 950.00] P:1920.11 E:0.199299 |  The right side from us.
[950.00 - 953.00] P:1579.14 E:0.294992 |  Alexander-Arnold with the out-swinger at the back post and it's headed away.
[953.00 - 957.00] P:1812.69 E:0.207750 |  It will bounce to Delth and Rashford points to Delth.
[957.00 - 961.00] P:1831.63 E:0.234108 |  And then Delth gives it to Rashford who's cutting in field now on his right foot.
[961.00 - 965.00] P:1777.57 E:0.279472 |  He's going to try a shot which hits a defender Filene on the edge of the penalty area.
[965.00 - 969.00] P:1731.63 E:0.249558 |  He took a wide of goal and it bounced behind over the Hordings for another corner.
[969.00 - 971.00] P:1548.46 E:0.263190 |  This time from the left hand side.
[971.00 - 975.00] P:1746.91 E:0.222294 |  Alexander-Arnold took them from the right and he's going to take them from the left as well.
[975.00 - 978.00] P:1813.61 E:0.171501 |  It's going to full-back take them in the corners.
[978.00 - 981.00] P:1828.26 E:0.255731 |  Well it's usually. Tripierre are young isn't it?
[981.00 - 984.00] P:1795.32 E:0.277083 |  So here's Alexander-Arnold.
[984.00 - 986.00] P:1877.10 E:0.299291 |  Tripierre not risked tonight.
[986.00 - 990.00] P:1899.72 E:0.232792 |  He had his thigh strapped the other evening.
[990.00 - 995.00] P:1924.54 E:0.256289 |  So Alexander-Arnold wipes his face with his left arm.
[995.00 - 997.00] P:1873.19 E:0.214583 |  And then in it comes over.
[997.00 - 1001.00] P:1833.45 E:0.266013 |  Courtois and it's headed down and wide of the far post.
[1001.00 - 1003.00] P:1923.68 E:0.215694 |  John Stones was in there.
[1003.00 - 1005.00] P:1793.40 E:0.304539 |  Two goal John Stones against Panama.
[1005.00 - 1007.00] P:1778.67 E:0.306180 |  Very nearly got his name on the score sheet again.
[1007.00 - 1009.00] P:1709.51 E:0.171988 |  Yep he did. Very dangerous to set piece.
[1009.00 - 1013.00] P:1786.18 E:0.262276 |  It was great to leave Courtois came for it but then realised he wasn't going to get it.
[1013.00 - 1016.00] P:1575.54 E:0.196894 |  Went back the lane and it was actually Cahill got the header.
[1016.00 - 1019.00] P:1779.52 E:0.162138 |  Gary Cahill and it's behind.
[1019.00 - 1022.00] P:1750.14 E:0.162021 |  Did it take it a flexion as well?
[1022.00 - 1024.00] P:1664.08 E:0.167271 |  It might well have done.
[1024.00 - 1027.00] P:1635.65 E:0.258390 |  So Gary Cahill coming close for England.
[1027.00 - 1032.00] P:1551.60 E:0.260700 |  And Belgium with the ball in front of that penalty area with Boyatta of Celtic.
[1032.00 - 1037.00] P:1467.73 E:0.271494 |  A bouncing pass up towards Batuay on the half-air line but that's tied it up by Rose.
[1037.00 - 1041.00] P:1632.26 E:0.279029 |  He just actually caught Batuay on his follow-through but I think it'll be okay.
[1041.00 - 1043.00] P:1497.61 E:0.284490 |  Just a little reaction from him.
[1043.00 - 1045.00] P:1350.55 E:0.290309 |  12 minutes played here then England nil.
[1045.00 - 1047.00] P:1322.06 E:0.223649 |  Belgium nil.
[1047.00 - 1050.00] P:1483.75 E:0.255640 |  And England with possession again at the back.
[1050.00 - 1054.00] P:1666.93 E:0.269155 |  Despite all of the changes John Stones keeps his place.
[1054.00 - 1060.00] P:1446.68 E:0.274727 |  Gary Southgate after the relative lack of football that Stones had Chris during the latter part of the season.
[1060.00 - 1063.00] P:1416.46 E:0.286850 |  He's been his man all the way through the warm-up games.
[1063.00 - 1069.00] P:1622.57 E:0.260952 |  Stones kept his place and even when the changes have been made here Stones has continued to keep his place.
[1069.00 - 1074.00] P:1534.87 E:0.277520 |  Eric Dyer who's come in for Henderson in the central role and has also taken the captain's armband from King.
[1074.00 - 1077.00] P:1677.91 E:0.318446 |  Alexander-Arnold now lifts one across and Vardy with the header.
[1077.00 - 1084.00] P:1746.13 E:0.278744 |  8 or 9 yards out managed to escape his two markers but headed it wider the far post by 4 or 5 yards.
[1084.00 - 1086.00] P:1685.85 E:0.244481 |  Good move, good ball by Dyer.
[1086.00 - 1089.00] P:1688.78 E:0.270883 |  Alexander-Arnold takes off very, very early.
[1089.00 - 1091.00] P:1468.03 E:0.223977 |  We know Azar's not a wing back.
[1091.00 - 1096.00] P:1571.46 E:0.267604 |  He's playing a little bit too high. He's trying to catch Alexander-Arnold all the time.
[1096.00 - 1100.00] P:1611.54 E:0.245205 |  He's chasing him. Vardy would be disappointed, didn't hit the target.
[1100.00 - 1104.00] P:1676.61 E:0.261138 |  Going back to the chance that Keahal had from the corner.
[1104.00 - 1107.00] P:1681.43 E:0.286220 |  England getting joy again from set pieces.
[1107.00 - 1109.00] P:1594.66 E:0.230282 |  Corners this time.
[1109.00 - 1112.00] P:1640.35 E:0.320465 |  Traditional strength of course of the England team going back.
[1112.00 - 1114.00] P:1638.62 E:0.265906 |  Well almost as far as you like.
[1114.00 - 1116.00] P:1832.79 E:0.143545 |  But they are a threat.
[1116.00 - 1121.00] P:1664.59 E:0.272327 |  I think Belgium at the minute when they get good possession which they will as the game goes on because the pace drops.
[1121.00 - 1124.00] P:1595.06 E:0.226820 |  You can tell when they get the ball they're good on the ball.
[1124.00 - 1127.00] P:1620.39 E:0.258173 |  I know they've rested a lot players but even this team they've got out of the deck.
[1127.00 - 1128.00] P:1422.42 E:0.235701 |  Very good on possession.
[1128.00 - 1133.00] P:1694.47 E:0.242876 |  Without the ball like the team what normally plays they're not the best. You can get at them.
[1133.00 - 1136.00] P:1629.02 E:0.267228 |  England nail Belgium nail. No yellow cards.
[1136.00 - 1143.00] P:1655.01 E:0.259849 |  So with that being the situation if it stays like this England would be group winners and Belgium would be runners up.
[1143.00 - 1148.00] P:1689.15 E:0.283316 |  Here's Fellainy finding a bit of space centrally playing it out to the right hand side.
[1148.00 - 1151.00] P:1551.63 E:0.298134 |  Where again Yanisai in that lazy fashion of his.
[1151.00 - 1154.00] P:1497.93 E:0.256291 |  Real Sociedad now is his club.
[1154.00 - 1156.00] P:1517.55 E:0.272805 |  Plays the ball with his left foot to the left hand side.
[1156.00 - 1158.00] P:1499.08 E:0.233090 |  Here to Torgan Azard.
[1158.00 - 1164.00] P:1591.51 E:0.239593 |  Bruce and Munchen Gladbach is the team that Torgan Azard plays for now.
[1164.00 - 1166.00] P:1642.23 E:0.242188 |  Having been a Chelsea youngster.
[1166.00 - 1172.00] P:1520.02 E:0.273189 |  Ball on the right hand side again with Chadley who may well move on after the relegation of West Bromby.
[1172.00 - 1174.00] P:1548.63 E:0.288812 |  This season Nasser Chadley.
[1174.00 - 1176.00] P:1611.04 E:0.233129 |  Now for Marlon.
[1176.00 - 1180.00] P:1577.14 E:0.292348 |  Again to the left hand side and then Jones steps forward and dispossesses Marwan Fellainy.
[1180.00 - 1184.00] P:1557.42 E:0.297742 |  Who puts in a challenge but it bounces kindly for Vardy and Vardy now looking for the run of Rashford.
[1184.00 - 1186.00] P:1680.23 E:0.310815 |  Both of the edge of the area.
[1186.00 - 1190.00] P:1730.63 E:0.263115 |  Courtois comes right out and scoops it up as Boyatta runs across Rashford.
[1190.00 - 1193.00] P:1591.05 E:0.261278 |  Decent pass Decent Rohnberg good talking by Courtois.
[1193.00 - 1198.00] P:1587.66 E:0.255359 |  The defenders were aware that he was around and he's obviously called for it and they've left it.
[1198.00 - 1202.00] P:1592.24 E:0.260701 |  What sort of combination is Alexander Arnold heads the ball back to Pickford?
[1202.00 - 1207.00] P:1585.83 E:0.257344 |  Would you be looking to see Chris tonight from Vardy and Rashford as England's front two.
[1207.00 - 1210.00] P:1367.06 E:0.290031 |  Rashford's got to be the 10 and Vardy's got to play high.
[1210.00 - 1212.00] P:1706.36 E:0.260100 |  Vardy especially against the three.
[1212.00 - 1215.00] P:1472.48 E:0.273690 |  You expect to get down the sides of the Marlon who's not getting any younger.
[1215.00 - 1217.00] P:1357.72 E:0.228177 |  Doesn't play a lot of football.
[1217.00 - 1222.00] P:1465.39 E:0.258231 |  Vardy should be playing slightly on his right hand side and getting down the same as much as possible.
[1222.00 - 1227.00] P:1459.14 E:0.275055 |  England nil Belgium nil likewise in the Panamartian-Isia game.
[1227.00 - 1235.00] P:1480.76 E:0.257608 |  Earlier as we know Poland were already out but won 1-0 against Japan who also go out
[1235.00 - 1246.00] P:1610.81 E:0.250427 |  because Japan had a through despite their defeat and Senegal leave the World Cup after their defeat against Columbia.
