[0.00 - 5.60] P:1575.80 E:0.182317 |  And it is a beautiful evening here on the Côte d'Azur.
[145.00 - 155.00] P:1575.26 E:0.199530 |  And that Iceland team, Hal Dawson is the goalkeeper, back four of Saivossen, Ragnar Sigurdsson, Arnesson and Skullason.
[155.00 - 160.00] P:1573.90 E:0.203500 |  Then in midfield Goodmanson, Gunnarsson, Gylfi Sigurdsson and Pjarnasson.
[160.00 - 167.00] P:1721.63 E:0.203082 |  And he has walker down the right hand side crossing for England but it's cleared away by the captain Aaron Gunnarsson inside the penalty area.
[167.00 - 172.00] P:1745.38 E:0.170881 |  And then the two up front for Iceland, Sigthorsson and Byrd Varsson.
[172.00 - 181.00] P:1664.55 E:0.199259 |  And it is Iceland in the blue shirts, mainly blue although there is a red and white stripe down the left hand side of the front of the shirts.
[181.00 - 184.00] P:1615.63 E:0.196366 |  A little like the flag of Iceland itself.
[184.00 - 187.00] P:1712.01 E:0.203881 |  And white numbers, blue shorts and blue socks.
[187.00 - 190.00] P:1734.19 E:0.207110 |  In England with the ball at the back.
[190.00 - 192.00] P:1697.86 E:0.215135 |  Here is Kyle Walker back in the team.
[192.00 - 194.00] P:1669.47 E:0.207985 |  Six changes for England tonight.
[194.00 - 202.00] P:1678.19 E:0.197773 |  It was the team that was widely reported in the media overnight and this morning that Roy Hodgson has gone with.
[202.00 - 207.00] P:1644.84 E:0.202183 |  So here is a touch from Raheem Sterling and now Eric Geyer on the half way line.
[207.00 - 209.00] P:1605.89 E:0.210188 |  Here is Geyer swinging the ball back out to the right hand side.
[209.00 - 211.00] P:1629.87 E:0.222633 |  Sturridge is there almost with his heels on the white line.
[211.00 - 213.00] P:1815.60 E:0.201877 |  Then a flick from Ali.
[213.00 - 220.00] P:1774.05 E:0.216616 |  Sturridge 25 yards out, shooting left footed by the ball pounces wide by three or four yards of Hal Dawson's left post.
[220.00 - 223.00] P:1655.24 E:0.189410 |  Danny Mills encouraging start from England.
[223.00 - 229.00] P:1691.87 E:0.206897 |  Clearly they want to get the players wide and if Sterling comes out wide, sorry, Sturridge comes out wide and starts on the touch line.
[229.00 - 233.00] P:1448.47 E:0.194744 |  Has that touch and then goes and plays inside and follows his ball.
[233.00 - 235.00] P:1587.23 E:0.162388 |  Then that can work.
[235.00 - 244.00] P:1556.85 E:0.187885 |  This is BBC Five Live bringing you the last match in the round of 16 at Euro 2016.
[244.00 - 246.00] P:1441.13 E:0.194998 |  So this will complete the line up.
[246.00 - 250.00] P:1519.29 E:0.204364 |  We know that Italy are through having knocked out the holders of Spain.
[250.00 - 256.00] P:1767.59 E:0.216406 |  Here is Ali turning away in the centre circle and running forward and Ali manages to work into Sterling.
[256.00 - 260.00] P:1752.67 E:0.186606 |  Turns onto his left foot still going Sterling but forced wide by Cyberson.
[260.00 - 262.00] P:1758.33 E:0.185656 |  Still Sterling though, shoots.
[262.00 - 269.00] P:1728.66 E:0.185395 |  It's deflected and blocked by Cyberson and Iceland are able to clear it away to relative safety.
[269.00 - 276.00] P:1708.32 E:0.192651 |  There's a chance John, I think you know again, had he been in sparkling form and great confidence,
[276.00 - 283.00] P:1708.50 E:0.197014 |  he would have taken that shot on just a little bit of a fraction earlier and probably would have tested the goalkeeper.
[283.00 - 287.00] P:1651.95 E:0.206736 |  So it's England nil, Iceland nil.
[287.00 - 292.00] P:1613.21 E:0.206977 |  It is a pacy start from England and Gary Cahill has carried the ball a long way
[292.00 - 294.00] P:1663.41 E:0.195543 |  but runs down a playing alley in the end.
[294.00 - 296.00] P:1556.27 E:0.179466 |  However Iceland just clear it back.
[296.00 - 298.00] P:1770.24 E:0.209602 |  Sterling playing it through the middle of Sterling.
[298.00 - 303.00] P:1814.30 E:0.230128 |  Sterling could be in here, he's forced wide, all the goalkeeper comes in, catches Sterling
[303.00 - 306.00] P:1756.51 E:0.216633 |  and he's given a penalty.
[306.00 - 310.00] P:1762.91 E:0.219710 |  Sterling fouled by the goalkeeper Hal Dawson.
[310.00 - 313.00] P:1758.65 E:0.189013 |  It was a clumsy challenge by the goalkeeper
[313.00 - 318.00] P:1705.29 E:0.195446 |  and England have an early chance to get the goal to go in front in this match
[318.00 - 320.00] P:1679.70 E:0.205628 |  and it's Wayne really who's grabbed the ball.
[320.00 - 324.00] P:1597.16 E:0.194198 |  Really poor decision from the goalkeeper, one he didn't need to make.
[324.00 - 329.00] P:1705.78 E:0.204785 |  Raheem Sterling did very very well, let the ball run across him, was in on goal.
[329.00 - 331.00] P:1740.48 E:0.186082 |  The goalkeeper didn't need to come out.
[331.00 - 333.00] P:1777.57 E:0.185601 |  What was Chappell saying earlier?
[333.00 - 335.00] P:1689.12 E:0.188268 |  He's only conceded 10 of 24.
[335.00 - 339.00] P:1696.16 E:0.177659 |  That's right, he has a great record as a penalty saver.
[339.00 - 343.00] P:1633.05 E:0.176185 |  Saved 9 of his last 24 penalties in club football.
[343.00 - 348.00] P:1694.56 E:0.193841 |  But this is a golden chance for England to get the early goal that they wanted
[348.00 - 353.00] P:1706.21 E:0.191884 |  and it's the captain Wayne Rooney who's taken the responsibility with his right foot in the fourth minute.
[353.00 - 358.00] P:1858.99 E:0.192387 |  Rooney, here he comes now, strikes it low and in!
[358.00 - 361.00] P:1676.98 E:0.225374 |  The goalkeeper dived the right way down to his right
[361.00 - 365.00] P:1567.70 E:0.232371 |  but Rooney's penalty was right in the bottom corner
[365.00 - 370.00] P:1450.62 E:0.225564 |  and England have the early goal, 1-0 against Iceland.
[370.00 - 375.00] P:1448.34 E:0.217303 |  Fabulous penalty from Wayne Rooney, brilliantly struck, calm under pressure,
[375.00 - 380.00] P:1493.51 E:0.216147 |  no hesitation whatsoever and you exactly what he was going to do,
[380.00 - 384.00] P:1687.59 E:0.200382 |  drove it low into the bottom corner, really good penalty
[384.00 - 387.00] P:1701.25 E:0.202474 |  and that should ease all the nerves from England.
[387.00 - 391.00] P:1727.46 E:0.202243 |  I said earlier on it, if they get an early goal, that should see them through.
[391.00 - 393.00] P:1648.83 E:0.176987 |  They should dominate possession now,
[393.00 - 397.00] P:1690.45 E:0.182941 |  Iceland will have to come out a little bit more and that should allow more gaps for England.
[397.00 - 401.00] P:1803.64 E:0.169956 |  But you have to say, well done Raheem Sterling, first touch wasn't brilliant
[401.00 - 405.00] P:1694.52 E:0.175239 |  but he went in again for the second time, let the ball run across him,
[405.00 - 407.00] P:1682.84 E:0.181403 |  it was a really poor decision from the goalkeeper.
[407.00 - 411.00] P:1707.20 E:0.161803 |  He didn't need to come, misjudged it, once the penalty was given,
[411.00 - 414.00] P:1654.06 E:0.144741 |  Wayne Rooney fabulous, no mistake.
[414.00 - 418.00] P:1598.80 E:0.198254 |  And also Danny, I think the word of praise for Sturridge has balled through,
[418.00 - 422.00] P:1599.00 E:0.184038 |  looking for Sterling that set up the chance for him.
[423.00 - 426.00] P:1590.35 E:0.197631 |  But a clumsy challenge from the goalkeeper really.
[426.00 - 428.00] P:1692.04 E:0.193642 |  However, it's a penalty and England are in front
[428.00 - 433.00] P:1619.90 E:0.190898 |  and Wayne Rooney has just scored his 53rd goal for England extending his record.
[433.00 - 438.00] P:1719.29 E:0.214750 |  Long throw from Gunnison, he's headed on, chance to equalise it, it's in!
[438.00 - 444.00] P:1833.01 E:0.222542 |  Ragnar Sigurdsson has almost instantly equalised for Iceland.
[444.00 - 448.00] P:1771.31 E:0.216558 |  It was the long throw from Gunnison that caused the problems.
[448.00 - 452.00] P:1757.86 E:0.223024 |  There was a flick on, it fell to the central defender, Sigurdsson in the six-yard box
[452.00 - 457.00] P:1641.17 E:0.220244 |  and he made no mistake and England have pegged right back, it's 1-1 now.
[457.00 - 460.00] P:1662.91 E:0.196042 |  That's absolutely ridiculous.
[460.00 - 463.00] P:1611.32 E:0.223079 |  What did Rio Ferdinand say earlier on?
[463.00 - 468.00] P:1598.96 E:0.196206 |  You've got to have people bullying, dragging people into position.
[468.00 - 472.00] P:1675.30 E:0.205164 |  Kyle Walker goes to sleep, loses his man completely.
[472.00 - 474.00] P:1570.81 E:0.206305 |  Okay, not an awful lot Wayne Rooney can do,
[474.00 - 478.00] P:1760.74 E:0.192611 |  he gets beaten to the ball by Arnison, a big centre back for the header.
[478.00 - 486.00] P:1810.04 E:0.176709 |  But Kyle Walker goes to sleep, loses his man and it's a tap in from four yards out.
[486.00 - 490.00] P:1820.89 E:0.197181 |  You are at your most vulnerable when you've just scored.
[490.00 - 493.00] P:1838.21 E:0.174142 |  And that is terrible defending.
[493.00 - 497.00] P:1812.00 E:0.175797 |  England won, Iceland won and England were in front for,
[497.00 - 501.00] P:1787.12 E:0.168123 |  well if it was 60 seconds, I'd be surprised, Ian Dennis is behind the goal
[501.00 - 504.00] P:1830.67 E:0.164918 |  in which Iceland have just scored.
[504.00 - 507.00] P:1729.50 E:0.215245 |  Well Roy Hodgson was a move when Wayne really put England ahead
[507.00 - 511.00] P:1750.74 E:0.181878 |  but he's out now in his technical area, he's just clutch his hand as if to say,
[511.00 - 517.00] P:1736.79 E:0.161403 |  come on, but Dennis, right, the amount of space that the Icelandic player had was frightening.
[517.00 - 522.00] P:1790.05 E:0.165289 |  I was just going to say before that, John, when Raheem Sterling won the penalty,
[522.00 - 527.00] P:1719.37 E:0.182844 |  it was interesting that he went to both Daniel Sterridge and Deli Alley for a touch and support,
[527.00 - 532.00] P:1769.88 E:0.146092 |  they both brushed his hand, but of course it's all been done in a matter of seconds.
[532.00 - 541.00] P:1627.35 E:0.151252 |  So it's 1-1 and I was listening to Pema Halgrimson, one of the joint coaches of Iceland yesterday
[541.00 - 549.00] P:1672.47 E:0.164897 |  who said we've scored in almost every game from a set piece, in fact we've scored in every game.
[549.00 - 551.00] P:1750.57 E:0.143293 |  And that's still the case.
[551.00 - 554.00] P:1718.34 E:0.175803 |  And here they are now on the right-hand side with Goodmanson of Charlton,
[554.00 - 559.00] P:1719.44 E:0.178523 |  ball to the edge of the area, Pjarnasen couldn't take it on so England now bringing it away
[559.00 - 567.00] P:1672.82 E:0.179284 |  with their goal scorer tonight, Wayne Rooney, Rooney playing it back to the left-hand side to Rose,
[567.00 - 572.00] P:1742.40 E:0.181351 |  who was a little fortunate there that the ball breaks back down and he's able to play it all the way back to Joe Hart.
[572.00 - 578.00] P:1869.47 E:0.170279 |  Danny Mills, you just said the words out of my mouth John, the coach, the manager, warned England,
[578.00 - 584.00] P:1820.03 E:0.186910 |  we are good from set pieces, this is where we scored, these are where we create our opportunities.
[584.00 - 588.00] P:1701.94 E:0.172069 |  Were England not aware of this? The rest of the world were.
[588.00 - 595.00] P:1783.71 E:0.186464 |  I think they even mentioned Goodmanson's long throws yesterday and they've been completely caught out by that throw
[595.00 - 602.00] P:1769.91 E:0.159304 |  from the captain Aaron Goodmanson of Cardiff City and so 1-1 is the score.
[602.00 - 608.00] P:1780.67 E:0.182067 |  Here is Rooney on the left-hand side, a little touch from Dyer and then Rose goes for a long pass
[608.00 - 614.00] P:1786.37 E:0.181793 |  for that way beyond Harry Kane and it bounces through to the goalkeeper Hal Dorson,
[614.00 - 619.00] P:1701.55 E:0.155788 |  a magnificent turnout from Iceland, again their supporters round about 5,000 of them
[619.00 - 625.00] P:1593.43 E:0.172118 |  and they have, they've been in the ground way before the England fans, who are here in good number incidentally.
[625.00 - 632.00] P:1555.42 E:0.170012 |  I'd say there are probably twice as many England supporters inside the stadium, if not more, than Iceland fans,
[632.00 - 642.00] P:1461.11 E:0.170653 |  but they are now clapping in unison the men and women and boys and girls from that island in the north at Lankan
[642.00 - 650.00] P:1571.52 E:0.191408 |  and they'll have enjoyed that moment when the central defender Ragnar Sigurdsson scored the equaliser
[650.00 - 656.00] P:1542.92 E:0.189347 |  England with the ball at the back, slightly stung it would appear from conceding the goal,
[656.00 - 662.00] P:1641.07 E:0.191945 |  Carehill now to Sturridge, Sturridge moving in field, Sturridge playing a low ball to Sterling,
[662.00 - 667.00] P:1756.23 E:0.200524 |  Sterling centrally here, turns but he has his ankles taken away from him by Goodnison
[667.00 - 675.00] P:1668.61 E:0.165727 |  and it's a free kick, Fordon left at the centre circle, 9 minutes played and it's already 1-1.
[675.00 - 681.00] P:1685.03 E:0.175816 |  So Sterling just claims to his feet there, I think he's okay, he was just caught on the top of his right foot,
[681.00 - 690.00] P:1629.98 E:0.200474 |  Rooney is going to take the free kick, England sending Dyer up to the edge of the penalty area, Carehill is already there,
[690.00 - 697.00] P:1628.55 E:0.191135 |  Smalling hesitated but then with Iceland dropping everyone back, Smalling comes up as well,
[697.00 - 705.00] P:1758.91 E:0.183309 |  so Rooney with the delivery from the free kick, whips it in, it's headed firmly away, only back to Walker for England
[705.00 - 711.00] P:1749.81 E:0.158386 |  and Walker plays it to Rooney, Rooney on the half way line going for another long pass,
[711.00 - 717.00] P:1724.17 E:0.197745 |  here he is to the edge of the area, Dyer heads it down, bounced up, Sturridge and that meant the guilty Sigurdsson could take it away from him
[717.00 - 724.00] P:1765.44 E:0.186213 |  and whack it away down field. Back to you Dennis again, the Ben John, happy John both Roy Hodgson and Gary Neville,
[724.00 - 731.00] P:1795.69 E:0.189768 |  that free kick, desperate for Carl Walker to get out onto this near side, this right hand side to create that whip.
[732.00 - 738.00] P:1709.99 E:0.193521 |  Thanks Ian, England one, Iceland one, BBC Five Live and the ball just out of play for a throwing to England,
[738.00 - 746.00] P:1641.27 E:0.191549 |  10 yards inside, 15 yards inside the Iceland half, as England play from left to right towards the end of the stadium
[746.00 - 753.00] P:1528.22 E:0.191108 |  which is housing the Icelandic masses, Sturridge back to Carehill and now across to Smalling,
[753.00 - 760.00] P:1687.53 E:0.200105 |  Rooney's dropped very deep here and Rooney receives it from the England Central defender, is Manchester United team mate,
[760.00 - 765.00] P:1530.27 E:0.211415 |  Smalling, Rooney taking it on and then spinning a pass out here to the right hand side to Walker,
[765.00 - 771.00] P:1666.10 E:0.191001 |  Walker up against Bjarnasson, Sturridge comes for it, England keeping possession, but Iceland are very used to this,
[771.00 - 780.00] P:1700.57 E:0.174599 |  they had only 29% possession on average in the three group matches in which, let me stress again,
[780.00 - 787.00] P:1754.83 E:0.188637 |  they were unbeaten and went through just like England as group runners up, here is Dyer in the centre circle.
[787.00 - 792.00] P:1813.63 E:0.203915 |  Well possession John is no longer important is it, look at what Leicester did, I think they were average about 40% possession
[792.00 - 794.00] P:1826.09 E:0.199586 |  throughout the whole of the Premier League season.
[794.00 - 802.00] P:1764.48 E:0.177396 |  Walker moving in field goal into a congested area, it's just touched away by Sik Thorson, the tall blonde striker,
[802.00 - 807.00] P:1730.05 E:0.176316 |  but Iceland defending as a team as Sturridge plays it through into the penalty area,
[807.00 - 813.00] P:1760.25 E:0.186874 |  this time a sliding interception from Iceland's goal scorer Sigurdson, but it comes back for England,
[813.00 - 818.00] P:1694.84 E:0.211390 |  Rooney with a first time pass here to Sturridge on the right hand side, one won the score if you've just joined us on five live,
[818.00 - 827.00] P:1817.75 E:0.199425 |  here is Harry Kane, Kane plays it off, a guilty Sigurdson and it bounces behind for a corner, just being told 34 seconds between the goals,
[827.00 - 833.00] P:1757.44 E:0.199386 |  that was it, Rooney's penalty in the fifth minute, Sigurdson's equaliser in the sixth, 34 seconds,
[833.00 - 842.00] P:1691.95 E:0.185758 |  but a corner, a first corner of the game to England and with Harry Kane on the field, it is going to be Rooney who is taking the corner,
[842.00 - 850.00] P:1641.98 E:0.179014 |  well England have now got to try and do to Iceland what they did the other way round, opportunity now to put the book box,
[850.00 - 860.00] P:1659.46 E:0.188889 |  Dyer, Smalling, Cahill, Kane, strong tall players all good in the air, Rooney waiting, here's the Rooney corner into the edge of the sixth,
[860.00 - 866.00] P:1738.34 E:0.171840 |  the secure box, Smalling went for it, but missed it completely, he was unmarked in there as well,
[866.00 - 873.00] P:1700.09 E:0.172474 |  Ball played back towards Danny Rose who's the only man back for England on the halfway line and he's closed down by Bird Varson,
[873.00 - 877.00] P:1678.80 E:0.190067 |  Ball forward from Rose, he's headed out of play for a three to England on the far side,
[877.00 - 882.00] P:1696.66 E:0.171562 |  another question I'd like to ask, well we'll hold you if I have the opportunity, you know the goals are,
[882.00 - 889.00] P:1768.76 E:0.174403 |  Sigmundsson is six foot three at least, why is Kyle Walker marking in?
[889.00 - 895.00] P:1721.24 E:0.190394 |  We'll get a word from Chris Waddle as well who's watching from Paris, from our studio in Paris near the Eiffel Tower,
[895.00 - 903.00] P:1683.48 E:0.164537 |  but England with it on the halfway line, Rooney then going back to Cahill, 13 minutes played and it's one-one,
[903.00 - 909.00] P:1720.30 E:0.183865 |  England scoring the early goal that they so wanted, I mean not scored in the first half yet at Euro 2016,
[909.00 - 918.00] P:1782.07 E:0.171130 |  but then switching off for the long throw from Gunnison and equalising through Sigurdsson in the six yard box,
[918.00 - 925.00] P:1744.28 E:0.186124 |  he has Walker down the right, does Welter reach that, not sure he'll be able to keep it in, he did keep it in and gives it back to Sturridge,
[925.00 - 933.00] P:1690.36 E:0.181685 |  Sturridge turns, Bambusel's guilty Sigurdsson and now Rooney on the right hand side, Rooney, energetic performance from Rooney already,
[933.00 - 940.00] P:1691.11 E:0.164827 |  he's seen so much of the ball, this time on the right wing, gives it to Walker, Walker, it's all very congested,
[940.00 - 944.00] P:1710.89 E:0.200685 |  there are three Icelandic players there that Walker's managed to thread the ball infield towards Kane,
[944.00 - 951.00] P:1713.71 E:0.206540 |  I think he was fouled there, but referee Skamin has allowed play to continue and Harry Kane played it under the left back Skullison,
[951.00 - 956.00] P:1645.55 E:0.200601 |  I thought it might have hit Kane and gone out but no it didn't, it is cornered to England from the right hand side,
[957.00 - 964.00] P:1729.36 E:0.193447 |  the first corner from England was decent, good delivery, Cadehill didn't quite anticipate that Smalling might miss it,
[964.00 - 969.00] P:1729.67 E:0.195495 |  again this is an opportunity, England have got to make the most of these situations just like Iceland will,
[970.00 - 976.00] P:1668.26 E:0.186961 |  and all action starts at the game and a corner now to England from the right, Rooney to take it, here it is,
[976.00 - 981.00] P:1756.21 E:0.204432 |  and it, he was aiming for Cahill but it was headed up in the air, the ball's still in the box, Cahill challenges for it,
[981.00 - 986.00] P:1766.52 E:0.209655 |  weak punch by the goalkeeper, guilty sockets and clears that way on the edge of the box, comes to Alley, Alley shoots,
[986.00 - 996.00] P:1781.44 E:0.185783 |  and the ball really inches over the crossbar and over the top for a goal kick, Alley's unlucky, got closed down very very quickly,
[996.00 - 1001.00] P:1604.14 E:0.165128 |  maybe just needed it to drop another couple of inches and that would have hit the target,
[1001.00 - 1006.00] P:1664.79 E:0.174472 |  chance to bring in Chris Waddle for the first word since the start of the match, Chris.
[1006.00 - 1012.00] P:1380.99 E:0.196976 |  Yeah thanks, the pen great start, that's what you wanted, then you just think it's possession and drag them out,
[1012.00 - 1018.00] P:1319.79 E:0.194246 |  and the worst thing the world is, and I said come and cheer to the team pot, get an eight there, fan pot,
[1018.00 - 1022.00] P:1320.88 E:0.183316 |  the last score from the long throw was sort of real third man, and one of the two throwed in,
[1022.00 - 1027.00] P:1569.69 E:0.204735 |  and it's not about who's marked who, why does he get the free head on the first one, who's in front, and then the second one,
[1027.00 - 1033.00] P:1746.51 E:0.201865 |  Chris hears Sturridge inside the penalty area, lovely ball to him from Alley, Sturridge dropping his shoulder one way then the other,
[1034.00 - 1041.00] P:1678.76 E:0.174312 |  but then he was easily dispossessed by the central defender Arnason, and Iceland have it back,
[1041.00 - 1045.00] P:1582.67 E:0.188907 |  well bringing Chris again, but England on the move with Walker down the right hand side,
[1045.00 - 1050.00] P:1671.62 E:0.174309 |  Sturridge for spinning up, does well actually very tightly watched, passed forward by Walker,
[1050.00 - 1058.00] P:1682.37 E:0.173663 |  but Skulassan has it back for Iceland, and now a touch from Pjarnasen, but England back in possession inside their own heart,
[1058.00 - 1063.00] P:1712.21 E:0.198970 |  here's Rooney, Rooney just angles it back to Smalling, fourth of an hour played,
[1063.00 - 1072.00] P:1742.35 E:0.192996 |  and it's one-one after Rooney's penalty gave England the lead, but Iceland equalizing 34 seconds later, Rooney again,
[1072.00 - 1076.00] P:1692.91 E:0.193549 |  Harry Kane comes short, Deli Alley wanted the pass from Rooney, but it went short to Kane,
[1076.00 - 1080.00] P:1664.39 E:0.200645 |  Kane now to Sterling out to the area, Sterling has already won the penalty for England in this game,
[1080.00 - 1085.00] P:1651.32 E:0.186382 |  but he's dispossessed, comes back to Kane, Kane having a look, Kane having a shot,
[1085.00 - 1089.00] P:1728.85 E:0.204014 |  and the ball dips over the top of the crossbar, let's bring in Chris Waddle again.
[1089.00 - 1093.00] P:1644.67 E:0.218550 |  Yeah, just going back to the goal, the long throw, it was in front, how does he get a free header,
[1093.00 - 1096.00] P:1385.07 E:0.219738 |  and yet in Keogh walk, has gone for his hand up, it doesn't matter who you're marking,
[1096.00 - 1100.00] P:1618.83 E:0.213574 |  there he's six foot or four foot, you've got to go with him and track him, make sure you're winning the ball,
[1100.00 - 1105.00] P:1692.02 E:0.206343 |  terrible goal to go away after turning the lead, he said 34 seconds John, it's a criminal one out there,
[1105.00 - 1109.00] P:1539.76 E:0.222688 |  in a minute, dominating the play, but again not using the wits well enough for me,
[1109.00 - 1114.00] P:1566.99 E:0.210053 |  Sturridge getting Joe when he comes Wade, stay out there, Sterling's had good Joe when he's still Wade,
[1114.00 - 1116.00] P:1612.07 E:0.140892 |  stay out there.
[1116.00 - 1120.00] P:1628.88 E:0.176607 |  I think the goal has certainly rocked them, first five minutes we're looking for,
[1120.00 - 1124.00] P:1725.61 E:0.224622 |  we're hitting diagonal balls, here's Kane, scrubbing a ball into the penalty area,
[1124.00 - 1130.00] P:1511.63 E:0.201172 |  Sterling might have just been pulled back there by the central defender, Arneson,
[1130.00 - 1133.00] P:1446.76 E:0.186822 |  I don't think there was enough contact on the ballbancers through to the goalkeeper.
[1133.00 - 1138.00] P:1592.18 E:0.175067 |  No, there was, England started in the right way, you know, got the ball, got the goal from a diagonal ball
[1138.00 - 1143.00] P:1537.23 E:0.177417 |  from out wide, you know, into Raheem Sterling, and now it's like, they're a little bit shell-shocked,
[1143.00 - 1150.00] P:1751.15 E:0.212514 |  this is where they need the experience of Rooney and the more senior players to just get hold of the game,
[1150.00 - 1155.00] P:1637.50 E:0.196438 |  get back to doing what they were told to do, back to Ian Dennis behind the goal,
[1155.00 - 1161.00] P:1739.94 E:0.203628 |  the bencher agitated John, both Gary Neville and Roy Hodgson have made a point to Raheem Sterling
[1161.00 - 1167.00] P:1634.36 E:0.200845 |  to get out wide on that left, and Gary Neville saying play the ball from into out, diagonal balls out to that left and a side.
[1168.00 - 1173.00] P:1505.45 E:0.201586 |  Kane clicking the ball on the halfway line, but just giving possession back to Sigurdsson,
[1173.00 - 1178.00] P:1299.95 E:0.212479 |  Sigurdsson swings it to the left here, Sig Thorson is there, so is Dirk here,
[1178.00 - 1184.00] P:1306.77 E:0.211852 |  Djanasen with his long blonde hair, the man who scored that goal against Portugal,
[1184.00 - 1189.00] P:1463.57 E:0.200436 |  the historic first goal for Iceland at a major tournament, now it's with Gudmundsson of Charlton
[1189.00 - 1193.00] P:1683.74 E:0.237699 |  to the edge of the area, guilty Sigurdsson and Eistert, Sig Thorson's in, shoots,
[1193.00 - 1198.00] P:1782.36 E:0.251724 |  oh hard for the handkerchief, couldn't give it out and Iceland have taken the lead,
[1198.00 - 1205.00] P:1733.94 E:0.243188 |  Sig Thorson scores the goal, Hart got a big hand to that, but just took the pace of it
[1205.00 - 1212.00] P:1678.66 E:0.241876 |  and it trickled over the line into the back of the England net, and we have a big shot scoreline here
[1212.00 - 1216.00] P:1497.70 E:0.237360 |  of England one, Iceland two.
[1217.00 - 1223.00] P:1520.89 E:0.250824 |  I can't pull any punches John, the defending was absolutely appalling,
[1223.00 - 1227.00] P:1545.56 E:0.229121 |  Raheem Sterling lost his man in the first place, the ball was played out wide,
[1227.00 - 1234.00] P:1679.87 E:0.222697 |  the ball was then played inside once, twice, three times, little one-twos on the edge of the box,
[1234.00 - 1243.00] P:1712.27 E:0.205307 |  no one got close, no one got a tackle in, the side foot shot is at Johar, he has to save that,
[1243.00 - 1253.00] P:1726.97 E:0.199416 |  that's as bad as the mistake from the free kick from Gareth Bale, it was scored at the end of the stadium
[1253.00 - 1259.00] P:1669.25 E:0.198020 |  where Ian Dennis is very close to the action, didn't seem to have as much power on as the Gareth Bale
[1259.00 - 1265.00] P:1741.60 E:0.216313 |  won, Johar in front of me now still shaking his head, he actually slammed his right hand into his own head
[1265.00 - 1271.00] P:1672.87 E:0.215981 |  in annoyance, does it do the run, Harry Kane's there for you John, but we're hot on the bench,
[1271.00 - 1277.00] P:1724.16 E:0.191564 |  time being just sat down, shaking the head from Roy Hodgson, you'd expect better from Johar,
[1277.00 - 1283.00] P:1664.48 E:0.170767 |  Hart was diving down to his left, as I said at the time, got a big hand on it,
[1283.00 - 1289.00] P:1575.19 E:0.194633 |  but just really took the pace off it, well on our, when we did the Facebook Live earlier,
[1289.00 - 1294.00] P:1615.64 E:0.186224 |  it talks about does Johar need to play well, I said no, he just doesn't need to make any mistakes
